model_name,prompt_type,total_attempts,successful_attempts,failed_attempts,timeout_attempts,execution_time_mean,execution_time_median,execution_time_sd,prediction_accuracy,auc_roc,txt_accuracy,txt_auc_roc,total_duration_mean,total_duration_median,total_duration_sd,load_duration_mean,load_duration_median,load_duration_sd,prompt_eval_duration_mean,prompt_eval_duration_median,prompt_eval_duration_sd,eval_duration_mean,eval_duration_median,eval_duration_sd,prompt_eval_count_mean,prompt_eval_count_median,prompt_eval_count_sd,eval_count_mean,eval_count_median,eval_count_sd,true_positives,true_negatives,false_positives,false_negatives,precision,recall,f1_score,model_dir,model_params,model_quantization,total_duration_sec_missing_count,load_duration_sec_missing_count,prompt_eval_duration_sec_missing_count,eval_duration_sec_missing_count,python_api_duration_sec_missing_count,confidence_txt_missing_count,prompt_eval_count_missing_count,eval_count_missing_count
granite3.1-dense:2b-instruct-fp16,PromptType.SYSTEM1,100,100,0,0,0.42846190214157104,0.19648194313049316,0.8258626221315996,60.0,0.4644693782141187,60.0,0.4645,,,,,,,,,,,,,,,,,,,14,46,23,17,0.3783783783783784,0.45161290322580644,0.411764705882353,granite3_1-dense_2b-instruct-fp16,2,fp16,1,1,1,1,1,1,1,1
granite3.1-dense:2b-instruct-fp16,PromptType.COT_NSHOT,100,100,0,0,2.006467890739441,2.01702880859375,0.3312106687791608,52.0,0.46599264705882354,52.0,0.466,,,,,,,,,,,,,,,,,,,22,30,38,10,0.36666666666666664,0.6875,0.47826086956521735,granite3_1-dense_2b-instruct-fp16,2,fp16,1,1,1,1,1,1,1,1
granite3.1-dense:2b-instruct-fp16,PromptType.COT,100,100,0,0,2.4735899233818053,2.4534549713134766,0.48156391732548526,35.0,0.5731650303880318,35.0,0.5732,,,,,,,,,,,,,,,,,,,25,10,59,6,0.2976190476190476,0.8064516129032258,0.4347826086956521,granite3_1-dense_2b-instruct-fp16,2,fp16,1,1,1,1,1,1,1,1
granite3.1-dense:8b-instruct-fp16,PromptType.COT_NSHOT,100,100,0,0,7.758372256755829,7.53507661819458,1.2740660670348014,34.0,0.46473779385171793,34.0,0.4647,,,,,,,,,,,,,,,,,,,18,16,63,3,0.2222222222222222,0.8571428571428571,0.35294117647058826,granite3_1-dense_8b-instruct-fp16,8,fp16,1,1,1,1,1,1,1,1
granite3.1-dense:8b-instruct-fp16,PromptType.COT,100,100,0,0,8.76749567270279,8.60947561264038,1.6048837240241625,35.0,0.5740131578947368,35.0,0.574,,,,,,,,,,,,,,,,,,,21,14,62,3,0.25301204819277107,0.875,0.39252336448598124,granite3_1-dense_8b-instruct-fp16,8,fp16,1,1,1,1,1,1,1,1
granite3.1-dense:8b-instruct-fp16,PromptType.SYSTEM1,100,100,0,0,1.2609397840499879,0.44251513481140137,1.8763553164916762,56.0,0.4991530208921514,56.0,0.4992,,,,,,,,,,,,,,,,,,,12,44,33,11,0.26666666666666666,0.5217391304347826,0.3529411764705882,granite3_1-dense_8b-instruct-fp16,8,fp16,1,1,1,1,1,1,1,1
granite3.1-moe:3b-instruct-q4_K_M,PromptType.SYSTEM1,100,100,0,0,1.879813551902771,1.178728461265564,2.0603647399250824,56.0,0.5488095238095239,56.0,0.5488,,,,,,,,,,,,,,,,,,,22,34,36,8,0.3793103448275862,0.7333333333333333,0.5,granite3_1-moe_3b-instruct-q4_k_m,3,q4_k_m,1,1,1,1,1,1,1,1
granite3.1-moe:3b-instruct-q4_K_M,PromptType.COT_NSHOT,100,100,0,0,11.502111110687256,11.630987286567688,1.6287019236238325,38.0,0.6076190476190476,38.0,0.6076,,,,,,,,,,,,,,,,,,,24,14,56,6,0.3,0.8,0.4363636363636363,granite3_1-moe_3b-instruct-q4_k_m,3,q4_k_m,1,1,1,1,1,1,1,1
granite3.1-moe:3b-instruct-q4_K_M,PromptType.COT,100,100,0,0,10.230056064128876,9.936927914619446,2.1413026118868954,45.0,0.4744543650793651,45.0,0.4745,,,,,,,,,,,,,,,,,,,21,24,48,7,0.30434782608695654,0.75,0.4329896907216495,granite3_1-moe_3b-instruct-q4_k_m,3,q4_k_m,1,1,1,1,1,1,1,1
llama3.1:8b-instruct-fp16,PromptType.COT_NSHOT,100,100,0,0,7.145587599277496,7.020240783691406,1.1533888477091792,47.0,0.4939290917921321,47.0,0.4939,,,,,,,,,,,,,,,,,,,17,30,41,12,0.29310344827586204,0.5862068965517241,0.3908045977011494,llama3_1_8b-instruct-fp16,8,fp16,1,1,1,1,1,1,1,1
llama3.1:8b-instruct-fp16,PromptType.COT,100,100,0,0,8.000784900188446,8.011373400688171,1.3162198827166356,37.0,0.6567047817047819,37.0,0.6567,,,,,,,,,,,,,,,,,,,25,12,62,1,0.28735632183908044,0.9615384615384616,0.4424778761061947,llama3_1_8b-instruct-fp16,8,fp16,1,1,1,1,1,1,1,1
llama3.1:8b-instruct-fp16,PromptType.SYSTEM1,100,100,0,0,0.5424691796302795,0.39716482162475586,1.4647660948183003,64.0,0.6174530695078639,64.0,0.6175,,,,,,,,,,,,,,,,,,,19,45,28,8,0.40425531914893614,0.7037037037037037,0.5135135135135135,llama3_1_8b-instruct-fp16,8,fp16,1,1,1,1,1,1,1,1
llama3.2:1b-instruct-fp16,PromptType.COT,100,100,0,0,1.293605625629425,1.1606680154800415,0.7798350447004897,41.0,0.46843127731908696,41.0,0.4684,,,,,,,,,,,,,,,,,,,26,15,56,3,0.3170731707317073,0.896551724137931,0.46846846846846846,llama3_2_1b-instruct-fp16,1,fp16,1,1,1,1,1,1,1,1
llama3.2:1b-instruct-fp16,PromptType.COT_NSHOT,100,100,0,0,1.3208458018302918,1.1047914028167725,0.9332715012389653,40.0,0.3978174603174603,40.0,0.3978,,,,,,,,,,,,,,,,,,,19,21,51,9,0.2714285714285714,0.6785714285714286,0.3877551020408163,llama3_2_1b-instruct-fp16,1,fp16,1,1,1,1,1,1,1,1
llama3.2:1b-instruct-fp16,PromptType.SYSTEM1,100,100,0,0,0.16572025775909424,0.11672329902648926,0.45710561388436755,41.0,0.43333333333333335,41.0,0.4333,,,,,,,,,,,,,,,,,,,23,18,52,7,0.30666666666666664,0.7666666666666667,0.4380952380952381,llama3_2_1b-instruct-fp16,1,fp16,1,1,1,1,1,1,1,1
