model_name,prompt_type,total_attempts,successful_attempts,failed_attempts,timeout_attempts,execution_time_mean,execution_time_median,execution_time_sd,prediction_accuracy,auc_roc,total_duration_mean,total_duration_median,total_duration_sd,load_duration_mean,load_duration_median,load_duration_sd,prompt_eval_duration_mean,prompt_eval_duration_median,prompt_eval_duration_sd,eval_duration_mean,eval_duration_median,eval_duration_sd,true_positives,true_negatives,false_positives,false_negatives,precision,recall,f1_score,txt_accuracy,txt_auc_roc,model_dir,model_params,model_quantization
llama3.2:1b-instruct-fp16,PromptType.SYSTEM1,100,100,0,0,0.16572025775909424,0.11672329902648926,0.45710561388436755,41.0,0.43333333333333335,,,,,,,,,,,,,23,18,52,7,0.30666666666666664,0.7666666666666667,0.4380952380952381,41.0,0.4333,llama3_2_1b-instruct-fp16,1,fp16
llama3.2:1b-instruct-fp16,PromptType.COT_NSHOT,100,100,0,0,1.3208458018302918,1.1047914028167725,0.9332715012389653,40.0,0.3978174603174603,,,,,,,,,,,,,19,21,51,9,0.2714285714285714,0.6785714285714286,0.3877551020408163,40.0,0.3978,llama3_2_1b-instruct-fp16,1,fp16
llama3.2:1b-instruct-fp16,PromptType.COT,100,100,0,0,1.293605625629425,1.1606680154800415,0.7798350447004897,41.0,0.46843127731908696,,,,,,,,,,,,,26,15,56,3,0.3170731707317073,0.896551724137931,0.46846846846846846,41.0,0.4684,llama3_2_1b-instruct-fp16,1,fp16
dolphin-2.9.2-qwen2-7b:Q4_K_M,PromptType.SYSTEM1,100,100,0,0,0.2909287977218628,0.2171245813369751,0.7305991270798062,60.0,0.6056985294117647,,,,,,,,,,,,,17,43,25,15,0.40476190476190477,0.53125,0.4594594594594595,60.0,0.6057,dolphin-2_9_2-qwen2-7b_q4_k_m,7,q4_k_m
dolphin-2.9.2-qwen2-7b:Q4_K_M,PromptType.COT_NSHOT,100,100,0,0,2.784989972114563,2.740158200263977,0.7951233746863818,57.0,0.47956043956043953,,,,,,,,,,,,,16,41,24,19,0.4,0.45714285714285713,0.42666666666666664,57.0,0.4796,dolphin-2_9_2-qwen2-7b_q4_k_m,7,q4_k_m
dolphin-2.9.2-qwen2-7b:Q4_K_M,PromptType.COT,100,100,0,0,2.2520677781105043,2.2797977924346924,0.3454787265280819,35.0,0.42817982456140347,,,,,,,,,,,,,22,13,63,2,0.25882352941176473,0.9166666666666666,0.4036697247706422,35.0,0.4282,dolphin-2_9_2-qwen2-7b_q4_k_m,7,q4_k_m
llama3.3:70b-instruct-q4_K_M,PromptType.SYSTEM1,100,100,0,0,1.657241051197052,1.2338801622390747,4.217458296336167,49.0,0.5838293650793651,,,,,,,,,,,,,26,23,49,2,0.3466666666666667,0.9285714285714286,0.5048543689320388,49.0,0.5838,llama3_3_70b-instruct-q4_k_m,70,q4_k_m
llama3.3:70b-instruct-q4_K_M,PromptType.COT_NSHOT,100,100,0,0,26.458070156574248,26.323856234550476,3.3191497596723814,66.0,0.4640376984126984,,,,,,,,,,,,,19,47,25,9,0.4318181818181818,0.6785714285714286,0.5277777777777777,66.0,0.464,llama3_3_70b-instruct-q4_k_m,70,q4_k_m
llama3.3:70b-instruct-q4_K_M,PromptType.COT,100,100,0,0,22.79275583744049,22.84746813774109,3.435090554707765,46.0,0.5334821428571429,,,,,,,,,,,,,21,25,47,7,0.3088235294117647,0.75,0.4375,46.0,0.5335,llama3_3_70b-instruct-q4_k_m,70,q4_k_m
exaone3.5:32b-instruct-q4_K_M,PromptType.SYSTEM1,100,100,0,0,1.0968578171730041,0.9128025770187378,1.88416847999991,50.0,0.502079002079002,,,,,,,,,,,,,16,34,40,10,0.2857142857142857,0.6153846153846154,0.3902439024390244,50.0,0.5021,exaone3_5_32b-instruct-q4_k_m,32,q4_k_m
exaone3.5:32b-instruct-q4_K_M,PromptType.COT_NSHOT,100,100,0,0,11.711480264663697,11.83412516117096,1.4772550491436953,67.0,0.5215696465696466,,,,,,,,,,,,,20,47,27,6,0.425531914893617,0.7692307692307693,0.547945205479452,67.0,0.5216,exaone3_5_32b-instruct-q4_k_m,32,q4_k_m
exaone3.5:32b-instruct-q4_K_M,PromptType.COT,100,100,0,0,10.095416662693024,10.085835099220276,0.9756211957702265,53.0,0.5225225225225225,,,,,,,,,,,,,23,30,33,14,0.4107142857142857,0.6216216216216216,0.49462365591397844,53.0,0.5225,exaone3_5_32b-instruct-q4_k_m,32,q4_k_m
marco-o1:7b-fp16,PromptType.SYSTEM1,100,100,0,0,0.5583850646018982,0.40197885036468506,1.5613423170285248,67.0,0.5263825469304921,,,,,,,,,,,,,7,60,13,20,0.35,0.25925925925925924,0.29787234042553196,67.0,0.5264,marco-o1_7b-fp16,7,fp16
marco-o1:7b-fp16,PromptType.COT_NSHOT,100,100,0,0,5.840510463714599,5.822887539863586,0.8530370987829448,48.0,0.5115131578947368,,,,,,,,,,,,,19,29,47,5,0.2878787878787879,0.7916666666666666,0.4222222222222222,48.0,0.5115,marco-o1_7b-fp16,7,fp16
marco-o1:7b-fp16,PromptType.COT,100,100,0,0,6.772101132869721,6.831602215766907,0.8217354948243114,41.0,0.4662457503642545,,,,,,,,,,,,,25,16,55,4,0.3125,0.8620689655172413,0.4587155963302752,41.0,0.4662,marco-o1_7b-fp16,7,fp16
exaone3.5:2.4b-instruct-q4_K_M,PromptType.SYSTEM1,100,100,0,0,0.21140212774276734,0.16350984573364258,0.3053884756752233,42.0,0.5962301587301587,,,,,,,,,,,,,25,17,55,3,0.3125,0.8928571428571429,0.462962962962963,42.0,0.5962,exaone3_5_2_4b-instruct-q4_k_m,4,q4_k_m
exaone3.5:2.4b-instruct-q4_K_M,PromptType.COT_NSHOT,100,100,0,0,1.7915960335731507,1.4095484018325806,0.9852762583865727,61.0,0.5293659043659042,,,,,,,,,,,,,11,50,24,15,0.3142857142857143,0.4230769230769231,0.360655737704918,61.0,0.5294,exaone3_5_2_4b-instruct-q4_k_m,4,q4_k_m
exaone3.5:2.4b-instruct-q4_K_M,PromptType.COT,100,100,0,0,1.9138739395141602,1.5704028606414795,1.0500429238063456,45.0,0.616318464144551,,,,,,,,,,,,,20,25,52,3,0.2777777777777778,0.8695652173913043,0.42105263157894735,45.0,0.6163,exaone3_5_2_4b-instruct-q4_k_m,4,q4_k_m
phi4:14b-q4_K_M,PromptType.SYSTEM1,100,100,0,0,4.158225231170654,4.285811185836792,1.3531377077353373,54.0,0.5601217656012176,,,,,,,,,,,,,20,34,39,7,0.3389830508474576,0.7407407407407407,0.4651162790697674,54.0,0.5601,phi4_14b-q4_k_m,14,q4_k_m
phi4:14b-q4_K_M,PromptType.COT_NSHOT,100,100,0,0,8.128828809261321,7.730655550956726,1.8470152497097638,46.0,0.5071875,,,,,,,,,,,,,15,31,49,5,0.234375,0.75,0.35714285714285715,46.0,0.5072,phi4_14b-q4_k_m,14,q4_k_m
phi4:14b-q4_K_M,PromptType.COT,100,100,0,0,5.677962143421173,5.5890586376190186,0.8251463060081061,43.0,0.5688048245614036,,,,,,,,,,,,,23,20,56,1,0.2911392405063291,0.9583333333333334,0.44660194174757284,43.0,0.5688,phi4_14b-q4_k_m,14,q4_k_m
