model_name,prompt_type,total_attempts,successful_attempts,failed_attempts,timeout_attempts,execution_time_mean,execution_time_median,execution_time_sd,prediction_accuracy,auc_roc,txt_accuracy,txt_auc_roc,total_duration_mean,total_duration_median,total_duration_sd,load_duration_mean,load_duration_median,load_duration_sd,prompt_eval_duration_mean,prompt_eval_duration_median,prompt_eval_duration_sd,eval_duration_mean,eval_duration_median,eval_duration_sd,prompt_eval_count_mean,prompt_eval_count_median,prompt_eval_count_sd,eval_count_mean,eval_count_median,eval_count_sd,true_positives,true_negatives,false_positives,false_negatives,precision,recall,f1_score,model_dir,model_params,model_quantization,total_duration_sec_missing_count,load_duration_sec_missing_count,prompt_eval_duration_sec_missing_count,eval_duration_sec_missing_count,python_api_duration_sec_missing_count,confidence_txt_missing_count,prompt_eval_count_missing_count,eval_count_missing_count
athene-v2:72b-q4_K_M,cot,100,100,0,0,62.12971167564392,62.02094542980194,6.611031971496379,60.0,0.5040476190476191,60.0,0.5040476190476191,62127847044.42,,6611018249.627314,21222812.93,,5780894.085105869,634590000.0,,36973672.04163557,61464570000.0,,6599425896.755541,330.6,,8.430344421831593,425.93,,45.46355072411794,24,36,34,6,0.41379310344827586,0.8,0.5454545454545454,athene-v2_72b-q4_K_M,72b,q4_K_M,0,0,0,0,0,0,0,0
athene-v2:72b-q4_K_M,cot_nshot,72,72,0,0,58.529864854282806,58.532861828804016,7.509692119399419,63.888888888888886,0.4657118055555556,63.888888888888886,0.4657118055555556,58527805427.27778,,7509858180.211873,23019353.736111112,,6584188.083747469,4390652777.777778,,11968455.866871284,54082708333.333336,,7509024291.819866,2048.0,,0.0,362.7638888888889,,50.30988284049268,16,30,18,8,0.47058823529411764,0.6666666666666666,0.5517241379310345,athene-v2_72b-q4_K_M,72b,q4_K_M,0,0,0,0,0,0,0,0
athene-v2:72b-q4_K_M,system1,100,100,0,0,3.4656481552124023,2.99935519695282,4.634826238400708,65.0,0.6496881496881496,65.0,0.6496881496881496,3463868814.58,,4634803742.407762,476478605.0,,4550750283.802975,496280000.0,,38582478.88313653,2480600000.0,,57125946.271144934,251.95,,8.681077762070279,18.0,,0.0,20,45,29,6,0.40816326530612246,0.7692307692307693,0.5333333333333333,athene-v2_72b-q4_K_M,72b,q4_K_M,0,0,0,0,0,0,0,0
aya-expanse:8b-q4_K_M,system1,100,100,0,0,0.33005881547927857,0.25283265113830566,0.7700538172748062,52.0,0.5859640602234094,52.0,0.5859640602234094,328153139.85,,769873026.9268427,110338163.73,,690771980.8918929,12200000.0,,14862331.206405303,195150000.0,,8425999.925674979,257.51,,9.495873638671492,18.0,,0.0,19,33,38,10,0.3333333333333333,0.6551724137931034,0.4418604651162791,aya-expanse_8b-q4_K_M,8b,q4_K_M,0,0,0,0,0,0,0,0
aya-expanse:8b-q4_K_M,cot,100,100,0,0,2.320480008125305,2.268361806869507,0.31304800182283676,37.0,0.5133239831697054,37.0,0.5133239831697054,2318354462.87,,313057621.55502486,41634726.94,,5810989.030656605,15260000.0,,1194431.524477928,2257200000.0,,313150914.0167005,332.91,,8.465133480842747,233.9,,32.79643365681794,28,9,60,3,0.3181818181818182,0.9032258064516129,0.4705882352941176,aya-expanse_8b-q4_K_M,8b,q4_K_M,0,0,0,0,0,0,0,0
aya-expanse:8b-q4_K_M,cot_nshot,100,100,0,0,3.045493018627167,3.046053886413574,0.4776212917526271,35.0,0.5043859649122808,35.0,0.5043859649122808,3043096699.89,,477512040.70625204,40984782.5,,5399699.773824328,413750000.0,,8069615.038444329,2558040000.0,,476291607.47753614,2048.0,,0.0,250.2,,48.42718161520366,19,16,60,5,0.24050632911392406,0.7916666666666666,0.36893203883495146,aya-expanse_8b-q4_K_M,8b,q4_K_M,0,0,0,0,0,0,0,0
command-r:35b-08-2024-q4_K_M,cot_nshot,100,100,0,0,9.41101420402527,9.134588837623596,2.4961193111857445,45.0,0.5711510441962118,45.0,0.5711510441962118,9408710374.64,,2496110575.045293,41501927.11,,6568711.249888409,1436610000.0,,11446754.204497527,7899800000.0,,2496280789.0495367,2048.0,,0.0,267.67,,87.41807766720967,18,27,44,11,0.2903225806451613,0.6206896551724138,0.3956043956043956,command-r_35b-08-2024-q4_K_M,35b,q4_K_M,0,0,0,0,0,0,0,0
command-r:35b-08-2024-q4_K_M,cot,100,100,0,0,9.970409777164459,9.839423060417175,1.8151195768953938,43.0,0.45978860294117646,43.0,0.45978860294117646,9968146548.83,,1815162903.29733,40621973.64,,6264117.566962485,74180000.0,,5648598.646272071,9849100000.0,,1815203121.8950055,331.94,,8.477921414778006,352.51,,65.69496313887528,30,13,55,2,0.35294117647058826,0.9375,0.5128205128205129,command-r_35b-08-2024-q4_K_M,35b,q4_K_M,0,0,0,0,0,0,0,0
command-r:35b-08-2024-q4_K_M,system1,100,100,0,0,0.8825088214874267,0.6490238904953003,2.326827539877408,40.0,0.4627329192546584,40.0,0.4627329192546584,880603296.33,,2326726545.900309,267788840.57,,2246545134.8556104,51590000.0,,25673590.172066554,551070000.0,,12712242.568135299,257.36,,7.890052553242551,18.04,,0.28141058827257937,19,21,56,4,0.25333333333333335,0.8260869565217391,0.38775510204081637,command-r_35b-08-2024-q4_K_M,35b,q4_K_M,0,0,0,0,0,0,0,0
dolphin3:8b-llama3.1-q4_K_M,cot_nshot,100,100,0,0,2.521039524078369,2.491273880004883,0.4090447194066117,43.0,0.4518011161846778,43.0,0.4518011161846778,2518670634.12,,409002435.7718818,33405680.97,,4434685.150281599,394910000.0,,2708367.132656229,2081700000.0,,407683985.85575116,2048.0,,0.0,224.19,,46.043390821960955,21,22,51,6,0.2916666666666667,0.7777777777777778,0.42424242424242425,dolphin3_8b-llama3.1-q4_K_M,8b,q4_K_M,0,0,0,0,0,0,0,0
