model_name,prompt_type,total_attempts,successful_attempts,failed_attempts,timeout_attempts,avg_execution_time,median_execution_time,sd_execution_time,prediction_accuracy,auc_roc,avg_total_duration,avg_load_duration,avg_prompt_eval_duration,avg_eval_duration,true_positives,true_negatives,false_positives,false_negatives,precision,recall,f1_score,txt_accuracy,txt_auc_roc,model_dir,model_params_b,quantization
command-r:35b-08-2024-q4_K_M,PromptType.SYSTEM1,100,100,0,0,0.9112493324279786,0.6688481569290161,2.3693201628792173,44.0,0.6290231507622812,909239811.78,267478927.76,54170000.0,577550000.0,21,23,54,2,0.28,0.9130434782608695,0.42857142857142866,44.0,0.629,command-r_35b-08-2024-q4_k_m,35,q4_k_m
command-r:35b-08-2024-q4_K_M,PromptType.COT_NSHOT,100,100,0,0,9.41101420402527,9.134588837623596,2.4961193111857445,45.0,0.5711510441962118,9408710374.64,41501927.11,1436610000.0,7899800000.0,18,27,44,11,0.2903225806451613,0.6206896551724138,0.3956043956043956,45.0,0.5712,command-r_35b-08-2024-q4_k_m,35,q4_k_m
command-r:35b-08-2024-q4_K_M,PromptType.COT,100,100,0,0,9.970409777164459,9.839423060417175,1.8151195768953938,43.0,0.45978860294117646,9968146548.83,40621973.64,74180000.0,9849100000.0,30,13,55,2,0.35294117647058826,0.9375,0.5128205128205129,43.0,0.4598,command-r_35b-08-2024-q4_k_m,35,q4_k_m
command-r:35b-08-2024-q4_K_M,PromptType.SYSTEM1,100,100,0,0,0.8825088214874267,0.6490238904953003,2.326827539877408,40.0,0.4627329192546584,880603296.33,267788840.57,51590000.0,551070000.0,19,21,56,4,0.25333333333333335,0.8260869565217391,0.38775510204081637,40.0,0.4627,command-r_35b-08-2024-q4_k_m,35,q4_k_m
tulu3:8b-q4_K_M,PromptType.SYSTEM1,100,100,0,0,0.19673794507980347,0.17263615131378174,0.241328448916417,58.0,0.5864497328800389,194814742.25,48629515.52,10690000.0,129480000.0,21,37,34,8,0.38181818181818183,0.7241379310344828,0.5000000000000001,58.0,0.5864,tulu3_8b-q4_k_m,8,q4_k_m
tulu3:8b-q4_K_M,PromptType.COT_NSHOT,100,100,0,0,3.0253924536705017,3.04735791683197,0.313297762470125,65.0,0.6674277016742769,3023096958.93,28077034.3,400870000.0,2586790000.0,24,41,32,3,0.42857142857142855,0.8888888888888888,0.5783132530120482,65.0,0.6674,tulu3_8b-q4_k_m,8,q4_k_m
tulu3:8b-q4_K_M,PromptType.SYSTEM1,100,100,0,0,0.24976024627685547,0.17513442039489746,0.7492349780810299,50.0,0.5014116318464145,247954342.12,99423589.04,10930000.0,130290000.0,9,41,36,14,0.2,0.391304347826087,0.2647058823529412,50.0,0.5014,tulu3_8b-q4_k_m,8,q4_k_m
tulu3:8b-q4_K_M,PromptType.COT_NSHOT,100,100,0,0,3.030913372039795,3.0393123626708984,0.3412736914350709,51.0,0.6061333333333333,3028530044.92,30445610.93,401320000.0,2588830000.0,20,31,44,5,0.3125,0.8,0.449438202247191,51.0,0.6061,tulu3_8b-q4_k_m,8,q4_k_m
tulu3:8b-q4_K_M,PromptType.COT,100,100,0,0,2.769104323387146,2.7752017974853516,0.40895467882864317,37.0,0.5228403437358661,2766913683.39,29591472.54,14090000.0,2720990000.0,32,5,62,1,0.3404255319148936,0.9696969696969697,0.5039370078740157,37.0,0.5228,tulu3_8b-q4_k_m,8,q4_k_m
tulu3:8b-q4_K_M,PromptType.COT,100,100,0,0,2.726475474834442,2.7392079830169678,0.4273655289986678,37.0,0.6192145862552595,2724305306.7,29578976.48,14020000.0,2678480000.0,30,7,62,1,0.32608695652173914,0.967741935483871,0.4878048780487805,37.0,0.6192,tulu3_8b-q4_k_m,8,q4_k_m
mistral:7b-instruct-fp16,PromptType.SYSTEM1,100,100,0,0,0.5740421509742737,0.4275686740875244,1.379175900114278,58.0,0.48561507936507936,572403590.39,151518291.11,16720000.0,400690000.0,7,51,21,21,0.25,0.25,0.25,58.0,0.4856,mistral_7b-instruct-fp16,7,fp16
mistral:7b-instruct-fp16,PromptType.COT_NSHOT,100,100,0,0,5.182020702362061,5.151007890701294,1.8988229652672735,61.0,0.4226190476190476,5179950806.13,15758871.77,385360000.0,4764250000.0,11,50,22,17,0.3333333333333333,0.39285714285714285,0.360655737704918,61.0,0.4226,mistral_7b-instruct-fp16,7,fp16
mistral:7b-instruct-fp16,PromptType.COT,100,100,0,0,6.759089703559876,6.558692455291748,2.850856581059991,54.0,0.48245614035087725,6756983351.44,15697392.59,23240000.0,6715010000.0,8,46,30,16,0.21052631578947367,0.3333333333333333,0.2580645161290323,54.0,0.4825,mistral_7b-instruct-fp16,7,fp16
qwen2.5:3b-instruct-q4_K_M,PromptType.COT_NSHOT,100,100,0,0,1.872595989704132,1.8378626108169556,0.3611670735846721,50.0,0.4726027397260274,1870409270.11,28740473.18,243470000.0,1562560000.0,12,38,35,15,0.2553191489361702,0.4444444444444444,0.32432432432432434,50.0,0.4726,qwen2_5_3b-instruct-q4_k_m,3,q4_k_m
