model_name,prompt_type,total_attempts,successful_attempts,failed_attempts,timeout_attempts,avg_execution_time,median_execution_time,sd_execution_time,prediction_accuracy,auc_roc,avg_total_duration,avg_load_duration,avg_prompt_eval_duration,avg_eval_duration,true_positives,true_negatives,false_positives,false_negatives,precision,recall,f1_score,txt_accuracy,txt_auc_roc,model_dir,model_params_b,quantization
sailor2:20b-chat-q4_K_M,PromptType.COT,100,100,0,0,6.287176852226257,6.272124886512756,0.9027329524391559,46.0,0.502297794117647,6285061269.92,27221869.63,94140000.0,6161540000.0,27,19,49,5,0.35526315789473684,0.84375,0.5,46.0,0.5023,sailor2_20b-chat-q4_k_m,20,q4_k_m
nemotron-mini:4b-instruct-fp16,PromptType.COT_NSHOT,100,100,0,0,1.7143757772445678,1.6038037538528442,0.4978106724225831,50.0,0.5182328190743338,1712182896.69,46723757.53,217030000.0,1432390000.0,15,35,34,16,0.30612244897959184,0.4838709677419355,0.375,50.0,0.5182,nemotron-mini_4b-instruct-fp16,4,fp16
nemotron-mini:4b-instruct-fp16,PromptType.COT,100,100,0,0,2.064220151901245,1.7796937227249146,1.224554187293947,44.0,0.4886928991406603,2062106351.65,47083669.9,10690000.0,2000900000.0,22,22,45,11,0.3283582089552239,0.6666666666666666,0.44000000000000006,44.0,0.4887,nemotron-mini_4b-instruct-fp16,4,fp16
nemotron-mini:4b-instruct-fp16,PromptType.SYSTEM1,100,100,0,0,0.37725810050964353,0.2876625061035156,0.9088970914440602,65.0,0.4412336085478388,375400050.68,134028450.75,9520000.0,225680000.0,9,56,15,20,0.375,0.3103448275862069,0.339622641509434,65.0,0.4412,nemotron-mini_4b-instruct-fp16,4,fp16
hermes3:8b-llama3.1-q4_0,PromptType.COT_NSHOT,100,100,0,0,3.6246752309799195,3.4397881031036377,0.9411600368896874,29.0,0.645224171539961,3622335491.76,31972953.42,373880000.0,3208630000.0,18,11,70,1,0.20454545454545456,0.9473684210526315,0.33644859813084116,29.0,0.6452,hermes3_8b-llama3_1-q4_0,8,unknown
hermes3:8b-llama3.1-q4_0,PromptType.SYSTEM1,100,100,0,0,0.26588088989257813,0.20421922206878662,0.6127555262304937,40.0,0.5568000000000001,264150749.04,87186557.22,10130000.0,160620000.0,22,18,57,3,0.27848101265822783,0.88,0.423076923076923,40.0,0.5568,hermes3_8b-llama3_1-q4_0,8,unknown
hermes3:8b-llama3.1-q4_0,PromptType.COT,100,100,0,0,3.084680829048157,3.016629934310913,0.4184404778251644,33.0,0.5004456327985739,3082366859.73,31820718.37,13050000.0,3035190000.0,33,0,66,1,0.3333333333333333,0.9705882352941176,0.4962406015037593,33.0,0.5004,hermes3_8b-llama3_1-q4_0,8,unknown
mixtral:8x7b-instruct-v0.1-q4_K_M,PromptType.COT_NSHOT,100,100,0,0,5.719617249965668,5.587674140930176,1.0976786173524236,50.0,0.5699013157894737,5717329584.06,14986069.52,1001430000.0,4685690000.0,17,33,43,7,0.2833333333333333,0.7083333333333334,0.40476190476190477,50.0,0.5699,mixtral_8x7b-instruct-v0_1-q4_k_m,7,q4_k_m
mixtral:8x7b-instruct-v0.1-q4_K_M,PromptType.SYSTEM1,100,100,0,0,2.612243535518646,2.130803108215332,3.03753375758843,71.0,0.49642625081221575,2610225949.08,276484067.33,103010000.0,2227400000.0,8,63,18,11,0.3076923076923077,0.42105263157894735,0.35555555555555557,71.0,0.4964,mixtral_8x7b-instruct-v0_1-q4_k_m,7,q4_k_m
mixtral:8x7b-instruct-v0.1-q4_K_M,PromptType.COT,100,100,0,0,5.440503940582276,5.50066876411438,1.05283182472124,41.0,0.5440024110910187,5438489140.11,13578433.28,141320000.0,5280460000.0,16,25,54,5,0.22857142857142856,0.7619047619047619,0.3516483516483517,41.0,0.544,mixtral_8x7b-instruct-v0_1-q4_k_m,7,q4_k_m
mistral-small:22b-instruct-2409-q4_K_M,PromptType.COT_NSHOT,100,100,0,0,9.807278397083282,9.724837899208069,1.3077239344831948,56.0,0.597666159309995,9805066542.71,14501589.41,1217500000.0,8558520000.0,19,37,36,8,0.34545454545454546,0.7037037037037037,0.4634146341463415,56.0,0.5977,mistral-small_22b-instruct-2409-q4_k_m,22,q4_k_m
mistral-small:22b-instruct-2409-q4_K_M,PromptType.SYSTEM1,100,100,0,0,0.7458548164367675,0.5744987726211548,1.4941452924104754,55.0,0.5264285714285714,743941649.06,159716523.64,63540000.0,517240000.0,23,32,38,7,0.3770491803278688,0.7666666666666667,0.5054945054945054,55.0,0.5264,mistral-small_22b-instruct-2409-q4_k_m,22,q4_k_m
mistral-small:22b-instruct-2409-q4_K_M,PromptType.COT,100,100,0,0,8.855044424533844,8.824005603790283,0.8667457248024248,41.0,0.5578666666666667,8852839822.56,14308536.26,101930000.0,8733460000.0,20,21,54,5,0.2702702702702703,0.8,0.404040404040404,41.0,0.5579,mistral-small_22b-instruct-2409-q4_k_m,22,q4_k_m
aya-expanse:8b-q4_K_M,PromptType.COT_NSHOT,100,100,0,0,3.070989365577698,3.077877998352051,0.41718303409131224,40.0,0.5894974590626765,3068792926.26,38729679.95,412710000.0,2589050000.0,20,20,57,3,0.2597402597402597,0.8695652173913043,0.39999999999999997,40.0,0.5895,aya-expanse_8b-q4_k_m,8,q4_k_m
aya-expanse:8b-q4_K_M,PromptType.COT,100,100,0,0,2.3126033473014833,2.250994920730591,0.3158840406952586,33.0,0.5624089363768819,2310748475.14,36151938.46,15120000.0,2255630000.0,26,7,64,3,0.28888888888888886,0.896551724137931,0.4369747899159664,33.0,0.5624,aya-expanse_8b-q4_k_m,8,q4_k_m
aya-expanse:8b-q4_K_M,PromptType.SYSTEM1,100,100,0,0,0.33005881547927857,0.25283265113830566,0.7700538172748062,52.0,0.5859640602234094,328153139.85,110338163.73,12200000.0,195150000.0,19,33,38,10,0.3333333333333333,0.6551724137931034,0.4418604651162791,52.0,0.586,aya-expanse_8b-q4_k_m,8,q4_k_m
aya-expanse:8b-q4_K_M,PromptType.COT,100,100,0,0,2.320480008125305,2.268361806869507,0.31304800182283676,37.0,0.5133239831697054,2318354462.87,41634726.94,15260000.0,2257200000.0,28,9,60,3,0.3181818181818182,0.9032258064516129,0.4705882352941176,37.0,0.5133,aya-expanse_8b-q4_k_m,8,q4_k_m
aya-expanse:8b-q4_K_M,PromptType.SYSTEM1,100,100,0,0,0.3261692953109741,0.24879157543182373,0.7712334756810261,61.0,0.6276276276276277,324239888.53,108370756.87,12110000.0,192930000.0,27,34,29,10,0.48214285714285715,0.7297297297297297,0.5806451612903226,61.0,0.6276,aya-expanse_8b-q4_k_m,8,q4_k_m
aya-expanse:8b-q4_K_M,PromptType.COT_NSHOT,100,100,0,0,3.045493018627167,3.046053886413574,0.4776212917526271,35.0,0.5043859649122808,3043096699.89,40984782.5,413750000.0,2558040000.0,19,16,60,5,0.24050632911392406,0.7916666666666666,0.36893203883495146,35.0,0.5044,aya-expanse_8b-q4_k_m,8,q4_k_m
mistral-nemo:12b-instruct-2407-q4_K_M,PromptType.COT_NSHOT,100,100,0,0,4.944514317512512,4.881397485733032,0.7628751581531537,36.0,0.5435855263157895,4942169593.62,31648188.82,617030000.0,4276020000.0,21,15,61,3,0.25609756097560976,0.875,0.39622641509433965,36.0,0.5436,mistral-nemo_12b-instruct-2407-q4_k_m,12,q4_k_m
mistral-nemo:12b-instruct-2407-q4_K_M,PromptType.SYSTEM1,100,100,0,0,0.38591981172561646,0.3112591505050659,0.8162305246942245,46.0,0.4813988095238095,384096036.16,106632973.12,23380000.0,246340000.0,23,23,49,5,0.3194444444444444,0.8214285714285714,0.45999999999999996,46.0,0.4814,mistral-nemo_12b-instruct-2407-q4_k_m,12,q4_k_m
mistral-nemo:12b-instruct-2407-q4_K_M,PromptType.COT,100,100,0,0,4.992182180881501,4.921117305755615,0.6977759732519031,32.0,0.4911642411642412,4990082793.32,31713846.35,34130000.0,4920400000.0,25,7,67,1,0.2717391304347826,0.9615384615384616,0.42372881355932207,32.0,0.4912,mistral-nemo_12b-instruct-2407-q4_k_m,12,q4_k_m
dolphin3:8b-llama3.1-q4_K_M,PromptType.COT_NSHOT,100,100,0,0,2.521039524078369,2.491273880004883,0.4090447194066117,43.0,0.4518011161846778,2518670634.12,33405680.97,394910000.0,2081700000.0,21,22,51,6,0.2916666666666667,0.7777777777777778,0.42424242424242425,43.0,0.4518,dolphin3_8b-llama3_1-q4_k_m,8,q4_k_m
dolphin3:8b-llama3.1-q4_K_M,PromptType.SYSTEM1,100,100,0,0,0.23652173519134523,0.2072392702102661,0.2473958923667511,66.0,0.5914666666666667,234679228.25,49968731.61,10900000.0,167720000.0,14,52,23,11,0.3783783783783784,0.56,0.4516129032258065,66.0,0.5915,dolphin3_8b-llama3_1-q4_k_m,8,q4_k_m
