model_name,prompt_type,total_attempts,successful_attempts,failed_attempts,timeout_attempts,execution_time_mean,execution_time_median,execution_time_sd,prediction_accuracy,auc_roc,total_duration_mean,total_duration_median,total_duration_sd,load_duration_mean,load_duration_median,load_duration_sd,prompt_eval_duration_mean,prompt_eval_duration_median,prompt_eval_duration_sd,eval_duration_mean,eval_duration_median,eval_duration_sd,true_positives,true_negatives,false_positives,false_negatives,precision,recall,f1_score,txt_accuracy,txt_auc_roc,model_dir,model_params,model_quantization
llama3.2:1b-instruct-q4_K_M,PromptType.SYSTEM1,100,100,0,0,,,,44.0,0.48506433823529416,,,,,,,,,,,,,21,23,45,11,0.3181818181818182,0.65625,0.4285714285714286,44.0,0.4851,llama3_2_1b-instruct-q4_k_m,1,q4_k_m
granite3.1-moe:3b-instruct-q4_K_M,PromptType.COT,100,100,0,0,,,,46.0,0.5546666666666665,,,,,,,,,,,,,18,28,47,7,0.27692307692307694,0.72,0.4,46.0,0.5547,granite3_1-moe_3b-instruct-q4_k_m,3,q4_k_m
granite3.1-moe:3b-instruct-q4_K_M,PromptType.COT_NSHOT,100,100,0,0,,,,39.0,0.4625459558823529,,,,,,,,,,,,,25,14,54,7,0.31645569620253167,0.78125,0.4504504504504505,39.0,0.4625,granite3_1-moe_3b-instruct-q4_k_m,3,q4_k_m
granite3.1-moe:3b-instruct-q4_K_M,PromptType.SYSTEM1,100,100,0,0,,,,56.0,0.5387700534759359,,,,,,,,,,,,,22,34,32,12,0.4074074074074074,0.6470588235294118,0.5,56.0,0.5388,granite3_1-moe_3b-instruct-q4_k_m,3,q4_k_m
exaone3.5:2.4b-instruct-fp16,PromptType.COT,100,100,0,0,,,,52.0,0.4577114427860697,,,,,,,,,,,,,22,30,37,11,0.3728813559322034,0.6666666666666666,0.47826086956521735,52.0,0.4577,exaone3_5_2_4b-instruct-fp16,4,fp16
exaone3.5:2.4b-instruct-fp16,PromptType.COT_NSHOT,100,100,0,0,,,,58.0,0.515895278167368,,,,,,,,,,,,,12,46,23,19,0.34285714285714286,0.3870967741935484,0.3636363636363636,58.0,0.5159,exaone3_5_2_4b-instruct-fp16,4,fp16
exaone3.5:2.4b-instruct-fp16,PromptType.SYSTEM1,100,100,0,0,,,,49.0,0.5794763908368397,,,,,,,,,,,,,25,24,45,6,0.35714285714285715,0.8064516129032258,0.495049504950495,49.0,0.5795,exaone3_5_2_4b-instruct-fp16,4,fp16
aya-expanse:8b-fp16,PromptType.COT,100,100,0,0,,,,49.0,0.6634424603174603,,,,,,,,,,,,,24,25,47,4,0.3380281690140845,0.8571428571428571,0.48484848484848475,49.0,0.6634,aya-expanse_8b-fp16,8,fp16
aya-expanse:8b-fp16,PromptType.COT_NSHOT,100,100,0,0,,,,58.0,0.5094380094380093,,,,,,,,,,,,,26,32,31,11,0.45614035087719296,0.7027027027027027,0.553191489361702,58.0,0.5094,aya-expanse_8b-fp16,8,fp16
aya-expanse:8b-fp16,PromptType.SYSTEM1,100,100,0,0,,,,51.0,0.6388499298737728,,,,,,,,,,,,,25,26,43,6,0.36764705882352944,0.8064516129032258,0.5050505050505051,51.0,0.6388,aya-expanse_8b-fp16,8,fp16
llama3.1:70b-instruct-q4_K_M,PromptType.COT,100,100,0,0,,,,42.0,0.5266666666666666,,,,,,,,,,,,,23,19,51,7,0.3108108108108108,0.7666666666666667,0.4423076923076923,42.0,0.5267,llama3_1_70b-instruct-q4_k_m,70,q4_k_m
llama3.1:70b-instruct-q4_K_M,PromptType.COT_NSHOT,100,100,0,0,,,,50.0,0.5716666666666667,,,,,,,,,,,,,17,33,37,13,0.3148148148148148,0.5666666666666667,0.4047619047619047,50.0,0.5717,llama3_1_70b-instruct-q4_k_m,70,q4_k_m
llama3.1:70b-instruct-q4_K_M,PromptType.SYSTEM1,100,100,0,0,,,,46.0,0.4508928571428571,,,,,,,,,,,,,14,32,40,14,0.25925925925925924,0.5,0.3414634146341463,46.0,0.4509,llama3_1_70b-instruct-q4_k_m,70,q4_k_m
granite3.1-dense:8b-instruct-fp16,PromptType.COT,100,100,0,0,,,,52.0,0.608695652173913,,,,,,,,,,,,,24,28,41,7,0.36923076923076925,0.7741935483870968,0.5,52.0,0.6087,granite3_1-dense_8b-instruct-fp16,8,fp16
granite3.1-dense:8b-instruct-fp16,PromptType.COT_NSHOT,100,100,0,0,,,,61.0,0.4546517064048621,,,,,,,,,,,,,8,53,16,23,0.3333333333333333,0.25806451612903225,0.29090909090909095,61.0,0.4547,granite3_1-dense_8b-instruct-fp16,8,fp16
granite3.1-dense:8b-instruct-fp16,PromptType.SYSTEM1,100,100,0,0,,,,47.0,0.5852355512384652,,,,,,,,,,,,,16,31,40,13,0.2857142857142857,0.5517241379310345,0.3764705882352941,47.0,0.5852,granite3_1-dense_8b-instruct-fp16,8,fp16
granite3.1-moe:3b-instruct-fp16,PromptType.COT,100,100,0,0,,,,54.0,0.45322245322245325,,,,,,,,,,,,,17,37,37,9,0.3148148148148148,0.6538461538461539,0.42500000000000004,54.0,0.4532,granite3_1-moe_3b-instruct-fp16,3,fp16
granite3.1-moe:3b-instruct-fp16,PromptType.COT_NSHOT,100,100,0,0,,,,36.0,0.43501636278634875,,,,,,,,,,,,,26,10,59,5,0.3058823529411765,0.8387096774193549,0.44827586206896564,36.0,0.435,granite3_1-moe_3b-instruct-fp16,3,fp16
granite3.1-moe:3b-instruct-fp16,PromptType.SYSTEM1,100,100,0,0,,,,53.0,0.45251017639077346,,,,,,,,,,,,,19,34,33,14,0.36538461538461536,0.5757575757575758,0.4470588235294118,53.0,0.4525,granite3_1-moe_3b-instruct-fp16,3,fp16
dolphin-llama3.1:8b-v2.9.4-Q4_K_M,PromptType.COT,100,100,0,0,,,,29.0,0.4747545582047686,,,,,,,,,,,,,23,6,63,8,0.26744186046511625,0.7419354838709677,0.3931623931623931,29.0,0.4748,dolphin-llama3_1_8b-v2_9_4-q4_k_m,8,q4_k_m
