model_name,prompt_type,accuracy,f1_score,prediction_yes_ct,prediction_no_ct,actual_yes_ct,actual_no_ct,confusion_tp,confusion_tn,confusion_fp,confusion_fn,auc_roc,api_call_total_ct,api_call_success_ct,api_total_duration_sec,api_prompt_eval_count,api_eval_count
olmo2:7b-1124-instruct-q4,cot,31.333333333333332,0.46073298429319376,147,3,44,106,44,3,103,0,0.5348413379073756,150,150,13.931365881013335,326.1333333333333,347.4866666666667
olmo2:7b-1124-instruct-q4,cot-nshot,39.333333333333336,0.4972375690607735,135,15,46,104,45,14,90,1,0.505121237458194,150,150,14.065450739846666,2048.0,263.2133333333333
olmo2:7b-1124-instruct-q4,system1,59.333333333333336,0.4403669724770642,63,87,46,104,24,65,39,22,0.5448369565217391,150,150,0.7356229147866666,248.79333333333332,13.0
phi4:14b-q4,cot,48.666666666666664,0.5095541401273885,111,39,46,104,40,33,71,6,0.549435618729097,150,150,5.596541441573334,327.79333333333335,401.35333333333335
phi4:14b-q4,cot-nshot,42.0,0.4790419161676646,121,29,46,104,40,23,81,6,0.5658444816053512,150,150,8.189883577026666,2048.0,493.9066666666667
phi4:14b-q4,system1,57.333333333333336,0.47540983606557374,76,74,46,104,29,57,47,17,0.4775292642140468,150,150,4.065981302753333,249.79333333333332,291.24666666666667
qwen2.5:7b-instruct-q4,cot,50.0,0.4094488188976378,81,69,46,104,26,49,55,20,0.5269648829431438,150,150,12.459016118780001,330.3466666666667,320.5466666666667
qwen2.5:7b-instruct-q4,cot-nshot,52.666666666666664,0.5103448275862069,99,51,46,104,37,42,62,9,0.592809364548495,150,150,11.93711140818,2048.0,229.41333333333333
qwen2.5:7b-instruct-q4,system1,65.33333333333333,0.21212121212121213,20,130,46,104,7,91,13,39,0.49446070234113715,150,150,0.9153650123066666,252.34666666666666,18.0
tulu3:8b-q4,cot,32.666666666666664,0.44198895027624313,141,9,40,110,40,9,101,0,0.5513636363636364,150,150,2.66071346484,327.23333333333335,309.2133333333333
tulu3:8b-q4,cot-nshot,46.666666666666664,0.4202898550724638,99,51,39,111,29,41,70,10,0.5475860475860477,150,150,2.8580816481399998,2048.0,267.76666666666665
tulu3:8b-q4,system1,52.666666666666664,0.4496124031007752,83,67,46,104,29,50,54,17,0.5841346153846154,150,150,0.17908372541999998,249.79333333333332,13.0
