model_name,prompt_type,accuracy,f1_score,prediction_yes_ct,prediction_no_ct,actual_yes_ct,actual_no_ct,confusion_tp,confusion_tn,confusion_fp,confusion_fn,auc_roc,api_call_total_ct,api_call_success_ct,api_total_duration_sec,api_prompt_eval_count,api_eval_count
aya-expanse:8b-q4,cot,32.87671232876713,0.4235294117647059,63,10,22,51,18,6,45,4,0.47549019607843135,73,73,10.35896342980822,333.8082191780822,233.1917808219178
aya-expanse:8b-q4,system1,60.666666666666664,0.4684684684684685,69,81,42,108,26,65,43,16,0.5814594356261021,150,150,1.0047406149666667,258.0,18.0
deepseek-r1:7b,cot,43.333333333333336,0.41379310344827586,110,40,35,115,30,35,80,5,0.5191304347826087,150,150,6.233269428813333,320.52,769.9
deepseek-r1:7b,cot-nshot,41.333333333333336,0.4210526315789473,112,38,40,110,32,30,80,8,0.5431818181818181,150,150,7.44632879354,843.8466666666667,899.0933333333334
deepseek-r1:7b,system1,41.911764705882355,0.41481481481481486,99,37,36,100,28,29,71,8,0.4898611111111111,136,136,4.282036186852941,242.11029411764707,524.7794117647059
dolphin3:8b-llama3.1-q4,cot,45.333333333333336,0.4605263157894736,110,40,42,108,35,33,75,7,0.6624779541446206,150,150,13.812049625173334,326.61333333333334,332.17333333333335
dolphin3:8b-llama3.1-q4,cot-nshot,42.666666666666664,0.4342105263157895,110,40,42,108,33,31,77,9,0.5509259259259258,150,150,12.50044531124,840.6133333333333,291.9866666666667
dolphin3:8b-llama3.1-q4,system1,68.66666666666667,0.49462365591397855,51,99,42,108,23,80,28,19,0.5534611992945326,150,150,0.9642352622466667,248.61333333333334,17.326666666666668
gemma2:9b-instruct-q4,cot,64.66666666666667,0.49523809523809526,63,87,42,108,26,71,37,16,0.5895061728395062,150,150,3.98352093722,342.0,329.88
gemma2:9b-instruct-q4,cot-nshot,54.666666666666664,0.46875,86,64,42,108,30,52,56,12,0.5989858906525573,150,150,4.0231499493400005,878.0,322.49333333333334
gemma2:9b-instruct-q4,system1,68.0,0.4418604651162791,44,106,42,108,19,83,25,23,0.5963403880070547,150,150,0.40103272348,257.0,22.58
granite3.1-dense:8b-instruct-q4,cot,50.666666666666664,0.463768115942029,96,54,42,108,32,44,64,10,0.5695546737213404,150,150,17.98914570586,382.93333333333334,393.02666666666664
granite3.1-dense:8b-instruct-q4,cot-nshot,42.666666666666664,0.45569620253164556,116,34,42,108,36,28,80,6,0.5983245149911817,150,150,19.097662736026667,995.9333333333333,402.28
granite3.1-dense:8b-instruct-q4,system1,63.333333333333336,0.4329896907216495,55,95,42,108,21,74,34,21,0.5149911816578483,150,150,5.1319527809866665,297.93333333333334,107.66666666666667
llama3.1:8b-instruct-q4,cot,31.333333333333332,0.43093922651933697,139,11,42,108,39,8,100,3,0.5756172839506174,150,150,3.3193781138266667,327.61333333333334,388.8066666666667
llama3.1:8b-instruct-q4,cot-nshot,40.666666666666664,0.4606060606060606,123,27,42,108,38,23,85,4,0.6897045855379189,150,150,3.24263505756,841.6133333333333,371.9
llama3.1:8b-instruct-q4,system1,57.333333333333336,0.5223880597014925,92,58,42,108,35,51,57,7,0.6386684303350969,150,150,0.23919543035333332,249.61333333333334,17.0
qwen2.5:7b-instruct-q4,cot,49.333333333333336,0.4492753623188406,96,54,42,108,31,43,65,11,0.5665784832451499,150,150,12.414654953040001,331.12666666666667,319.58666666666664
qwen2.5:7b-instruct-q4,cot-nshot,40.0,0.4444444444444444,120,30,42,108,36,24,84,6,0.5849867724867726,150,150,9.484233790253334,854.1266666666667,236.08666666666667
qwen2.5:7b-instruct-q4,system1,69.33333333333333,0.34285714285714286,28,122,42,108,12,92,16,30,0.5449735449735449,150,150,0.9411751336466666,253.12666666666667,18.0
tulu3:8b-q4,cot,30.0,0.41340782122905034,139,11,40,110,37,8,102,3,0.582840909090909,150,150,2.679360310286667,328.6666666666667,311.86
tulu3:8b-q4,cot-nshot,49.333333333333336,0.45714285714285713,103,47,37,113,32,42,71,5,0.5483138005261898,150,150,2.7184436420266667,842.3933333333333,311.93333333333334
tulu3:8b-q4,system1,50.0,0.42748091603053434,89,61,42,108,28,47,61,14,0.6389991181657848,150,150,0.20636816909333333,250.61333333333334,13.0
