model_name,prompt_type,total_attempts,successful_attempts,failed_attempts,timeout_attempts,avg_execution_time,median_execution_time,sd_execution_time,prediction_accuracy,auc_roc,avg_total_duration,avg_load_duration,avg_prompt_eval_duration,avg_eval_duration,true_positives,true_negatives,false_positives,false_negatives,precision,recall,f1_score,txt_accuracy,txt_auc_roc,model_dir,model_params_b,quantization
aya-expanse:8b-q4_K_M,PromptType.COT_NSHOT,100,100,0,0,2.9739713740348814,2.9413400888442993,0.40700019977097673,45.0,0.5055852355512385,2966543784.89,66353467.81,320750000.0,2526020000.0,25,20,51,4,0.32894736842105265,0.8620689655172413,0.4761904761904762,45.0,0.5056,aya-expanse_8b-q4_k_m,8,q4_k_m
aya-expanse:8b-q4_K_M,PromptType.SYSTEM1,98,98,0,0,0.3588230853178063,0.299282431602478,0.5602492652382343,54.08163265306123,0.5487256371814092,351807395.1632653,102569126.8877551,26387755.102040816,197826530.6122449,20,33,36,9,0.35714285714285715,0.6896551724137931,0.47058823529411764,54.08,0.5487,aya-expanse_8b-q4_k_m,8,q4_k_m
aya-expanse:8b-q4_K_M,PromptType.COT,100,100,0,0,2.5064156246185303,2.4604934453964233,0.3197776146476479,39.0,0.592857142857143,2499020672.9,65409335.5,27660000.0,2395860000.0,28,11,59,2,0.3218390804597701,0.9333333333333333,0.47863247863247865,39.0,0.5929,aya-expanse_8b-q4_k_m,8,q4_k_m
aya-expanse:32b-q4_K_M,PromptType.COT_NSHOT,100,100,0,0,9.088745844364166,9.016692519187927,1.000675422970602,38.0,0.49440000000000006,9086574125.38,39654469.65,1440680000.0,7579220000.0,19,19,56,6,0.25333333333333335,0.76,0.38,38.0,0.4944,aya-expanse_32b-q4_k_m,32,q4_k_m
aya-expanse:32b-q4_K_M,PromptType.SYSTEM1,100,100,0,0,1.221288905143738,0.78934645652771,4.268320652981311,62.0,0.5457380457380457,1219281266.73,455888530.31,53500000.0,699410000.0,20,42,32,6,0.38461538461538464,0.7692307692307693,0.5128205128205128,62.0,0.5457,aya-expanse_32b-q4_k_m,32,q4_k_m
aya-expanse:32b-q4_K_M,PromptType.COT,100,100,0,0,9.464987637996673,9.311174750328064,1.6339294445808425,32.0,0.5107284020327498,9462928722.28,39267752.89,74670000.0,9344960000.0,18,14,63,5,0.2222222222222222,0.782608695652174,0.34615384615384615,32.0,0.5107,aya-expanse_32b-q4_k_m,32,q4_k_m
aya-expanse:8b-fp16,PromptType.COT,100,100,0,0,3.746714458465576,3.7338476181030273,0.4222854341691133,39.0,0.5830952380952381,3740036983.04,63745358.65,28890000.0,3637960000.0,28,11,59,2,0.3218390804597701,0.9333333333333333,0.47863247863247865,39.0,0.5831,aya-expanse_8b-fp16,8,fp16
aya-expanse:8b-fp16,PromptType.COT_NSHOT,20,20,0,0,17.966689825057983,17.56743359565735,2.3277098631626614,35.0,0.3333333333333333,17964354591.25,42610512.9,2318200000.0,15574050000.0,1,6,11,2,0.08333333333333333,0.3333333333333333,0.13333333333333333,35.0,0.3333,aya-expanse_8b-fp16,8,fp16
aya-expanse:8b-fp16,PromptType.SYSTEM1,100,100,0,0,0.5169159960746765,0.3641170263290405,1.5179883252714517,59.0,0.6284722222222222,510583095.82,194325386.78,31600000.0,260690000.0,19,40,32,9,0.37254901960784315,0.6785714285714286,0.48101265822784806,59.0,0.6285,aya-expanse_8b-fp16,8,fp16
