num__jobs_held_in_2002,num__household_size_in_1997,num__number_of_arrests_in_last_5_years,num__weight_in_lbs,num__age,num__height_total_inches,cat__sex_recorded_in_1997_female,cat__sex_recorded_in_1997_male,"cat__marriage_or_cohabitation_status_in_2002_divorced, cohabiting","cat__marriage_or_cohabitation_status_in_2002_divorced, not cohabiting","cat__marriage_or_cohabitation_status_in_2002_married, spouse absent","cat__marriage_or_cohabitation_status_in_2002_married, spouse present","cat__marriage_or_cohabitation_status_in_2002_never married, cohabiting","cat__marriage_or_cohabitation_status_in_2002_never married, not cohabiting","cat__marriage_or_cohabitation_status_in_2002_separated, cohabiting","cat__marriage_or_cohabitation_status_in_2002_separated, not cohabiting",cat__highest_degree_by_2002_GED,cat__highest_degree_by_2002_Unknown,cat__highest_degree_by_2002_associate/junior college (AA),"cat__highest_degree_by_2002_bachelor's degree (BA, BS)",cat__highest_degree_by_2002_high school diploma (HS),cat__college_enrollment_status_in_2002_enrolled in a 2-year college,cat__college_enrollment_status_in_2002_enrolled in a 4-year college,cat__college_enrollment_status_in_2002_enrolled in a graduate program,"cat__college_enrollment_status_in_2002_enrolled in grades 1-12, not a high school graduate","cat__college_enrollment_status_in_2002_not enrolled, 2-year college graduate","cat__college_enrollment_status_in_2002_not enrolled, 4-year college graduate","cat__college_enrollment_status_in_2002_not enrolled, GED","cat__college_enrollment_status_in_2002_not enrolled, high school degree","cat__college_enrollment_status_in_2002_not enrolled, no high school degree, no GED","cat__college_enrollment_status_in_2002_not enrolled, some college",cat__parent_or_guardian_relationship_at_age_12_Unknown,cat__parent_or_guardian_relationship_at_age_12_adoptive parent(s),cat__parent_or_guardian_relationship_at_age_12_anything else,"cat__parent_or_guardian_relationship_at_age_12_biological dad, marital status unknown","cat__parent_or_guardian_relationship_at_age_12_biological father, other parent present","cat__parent_or_guardian_relationship_at_age_12_biological mother, marital status unknown","cat__parent_or_guardian_relationship_at_age_12_biological mother, other parent present",cat__parent_or_guardian_relationship_at_age_12_both biological parents,cat__parent_or_guardian_relationship_at_age_12_foster parent(s),cat__parent_or_guardian_relationship_at_age_12_group quarters,"cat__parent_or_guardian_relationship_at_age_12_other adults, biological parent status unknown, not group quarters",cat__raised_in_urban_or_rural_area_Unknown,cat__raised_in_urban_or_rural_area_rural,cat__raised_in_urban_or_rural_area_urban,cat__homeless_for_2+_nights_over_last_5_years_False,cat__homeless_for_2+_nights_over_last_5_years_True,cat__any_adult_household_member_jailed_in_last_5_years_False,cat__any_adult_household_member_jailed_in_last_5_years_True,cat__recieved_food_stamps_in_2002_False,cat__recieved_food_stamps_in_2002_True,cat__victim_of_violent_crime_in_last_5_years_False,cat__victim_of_violent_crime_in_last_5_years_True,cat__i_often_prey_to_god_for_help_False,cat__i_often_prey_to_god_for_help_True,cat__god_has_nothing_to_do_with_me_personally_False,cat__god_has_nothing_to_do_with_me_personally_True,cat__how_much_time_in_last_month_when_nothing_cheers_you_up_all of the time,cat__how_much_time_in_last_month_when_nothing_cheers_you_up_most of the time,cat__how_much_time_in_last_month_when_nothing_cheers_you_up_none of the time,cat__how_much_time_in_last_month_when_nothing_cheers_you_up_some of the time,cat__used_marijuana_in_last_4_years_False,cat__used_marijuana_in_last_4_years_True,cat__used_cocaine_or_other_hard_drug_in_last_4_years_False,cat__used_cocaine_or_other_hard_drug_in_last_4_years_True,cat__used_any_drug_in_last_4_years_False,cat__used_any_drug_in_last_4_years_True,cat__ever_arrested_in_last_5_years_True,cat__ever_convicted_in_last_5_years_False,cat__ever_convicted_in_last_5_years_True,"cat__race_american indian, eskimo or aleut",cat__race_asian or pacific islander,cat__race_black,cat__race_hispanic,cat__race_mixed-race,cat__race_white
-0.05903256,0.04918188,0.085749745,0.092861995,0.27887666,-0.028958503,0.10021064,0.0,0.0,0.0,-0.0015569165,0.030211687,-0.021591209,0.02872632,0.0,0.0,0.024466801,-0.048075378,0.0,0.0,0.046375517,0.047457498,0.010240842,0.0,0.007155215,0.0,0.0,0.31466383,-0.00359783,-0.027456133,-0.0036516767,0.005655531,0.0,0.0,-0.0037093032,0.002996382,0.03636438,0.0040408527,0.116886,0.0,0.0,-0.049297474,0.035839558,-0.07506134,-0.031819694,-0.08354775,0.0,0.029791005,0.0,-0.020466978,0.0,-0.01957483,0.0,-0.032836072,0.0,0.0058162524,0.0,0.0,-0.015969543,-0.0011052787,-0.011309419,0.08303813,0.0,0.28831807,0.0,0.06012064,0.0,0.0,0.0074063386,0.0,0.0,0.009593123,-0.007959403,-0.00011328154,0.0068046027,0.014690824
-0.16423412,0.051947035,0.060783673,0.20336851,-0.1494591,1.0268606,0.07919164,0.0,0.0,0.0,-0.0017332905,0.039682277,-0.0025320386,0.029781021,0.0,0.0,-0.0013343696,-0.07051725,0.0,0.0,-0.061202187,0.032133907,0.007992777,0.0,0.0048473333,0.0,0.0,-0.027841143,-0.0067828605,-0.07777239,0.18591028,0.19719577,0.0,0.0,-0.007390107,0.0027329691,0.046959348,0.001060976,0.026835177,0.0,0.0,-0.039769307,-0.036504194,-0.084991716,0.014721398,-0.072162405,0.0,-0.017162649,0.0,-0.02084218,0.0,-0.026575975,0.0,-0.0248391,0.0,0.10709762,0.0,0.0,-0.016475437,0.041283105,0.041712895,0.041913893,0.0,-0.057955254,0.0,0.024112212,0.0,0.0,0.018965352,0.0,0.0,0.010153292,-0.028483007,-0.0024497644,0.007698937,0.0107086105
-0.0064302385,-0.04339894,0.08834992,-0.4167218,-0.092540465,0.109614454,0.09265489,0.0,0.0,0.0,-0.0016346787,0.0061822142,-0.011493805,0.042205285,0.0,0.0,-0.0016017024,0.03987194,0.0,0.0,0.023185603,0.026180502,0.012369528,0.0,0.014537823,0.0,0.0,0.26849717,-0.033423197,0.06001672,-2.6142836e-05,0.009419115,0.0,0.0,0.005155997,0.0026693714,0.037961066,0.001939197,0.0152079705,0.0,0.0,-0.0496022,0.0743462,-0.034069054,-0.010693447,-0.036869653,0.0,0.2810145,0.0,-0.014292974,0.0,-0.005563578,0.0,0.07992255,0.0,-0.17427891,0.0,0.0,-0.004016354,-0.00079671247,-0.0016146384,0.054180786,0.0,-0.060350467,0.0,0.04486978,0.0,0.0,0.006039174,0.0,0.0,0.009770365,0.0540261,0.00826228,0.007753533,-0.023110127
-0.32435322,0.01601633,-0.12565352,0.07122427,0.1357292,-0.061918877,-0.6576976,0.0,0.0,0.0,-0.005651871,0.051698554,0.005471341,0.08356125,0.0,0.0,-0.010211691,-0.02883758,0.0,0.0,-0.08655283,-0.00020348746,-0.38171396,0.0,0.0035073506,0.0,0.0,-0.031847388,0.004468982,-0.04525542,-0.009695135,0.008136093,0.0,0.0,-0.01883104,0.0019805369,-0.0031098987,0.0005854002,-0.0106899245,0.0,0.0,-0.09634572,0.039849095,-0.011780181,0.005527681,-0.08678449,0.0,0.043549016,0.0,-0.01187451,0.0,0.025492579,0.0,-0.04167075,0.0,-0.00025634674,0.0,0.0,-0.05046055,0.051606115,0.011053256,0.07251667,0.0,0.13759764,0.0,0.018938402,0.0,0.0,0.026653573,0.0,0.0,0.009727938,0.0028927706,-0.0074442383,0.006334219,-0.045242194
0.10830804,-0.040381085,-0.002682732,-0.05283747,-0.028521135,-0.07017761,-0.57201463,0.0,0.0,0.0,-0.03346323,0.043594677,-0.0016877453,-0.35448763,0.0,0.0,-0.0030054008,-0.0154990945,0.0,0.0,-0.051773455,-0.00088863634,0.011893641,0.0,-0.013296238,0.0,0.0,0.00022832994,-0.0041885874,-0.04607785,0.057575874,-0.01698943,0.0,0.0,-0.004531562,0.0018584775,-0.011171721,-0.0016241362,-0.0134466225,0.0,0.0,-0.09542513,-0.116895676,-0.028762251,-0.014550688,-0.09585989,0.0,-0.022531034,0.0,-0.02279996,0.0,0.0912131,0.0,-0.03921488,0.0,0.011595093,0.0,0.0,-0.084493704,0.09830227,0.020761423,0.018674146,0.0,-0.09181117,0.0,0.008835216,0.0,0.0,-0.009301402,0.0,0.0,0.009295778,0.0035603635,-0.008267022,0.006784793,-0.04370566
0.23103024,-0.15458901,-0.18049851,0.28779918,0.0195196,0.18572444,0.17885841,0.0,0.0,0.0,-0.0018110526,0.0218456,-0.009281576,0.041509047,0.0,0.0,-0.0017002671,0.04505724,0.0,0.0,0.05823119,0.006526414,-0.00020905212,0.0,0.0025137144,0.0,0.0,0.02099948,-0.015954442,0.09401417,-0.0058860714,0.12180101,0.0,0.0,-0.0003701623,0.0020226927,-0.079048574,0.002312093,0.011795917,0.0,0.0,-0.01525203,-0.25629923,-0.06388334,0.0021332675,-0.035595916,0.0,-0.021389574,0.0,-0.0073397253,0.0,-0.013413783,0.0,-0.00067108555,0.0,0.010263731,0.0,0.0,-0.015230605,0.07589397,0.057290573,0.020955708,0.0,0.20971899,0.0,-0.003742904,0.0,0.0,0.033451304,0.0,0.0,0.009678188,-0.016888857,-0.005383882,0.0068775057,0.018902741
0.17724904,-0.0160703,-0.13243458,0.07755738,-0.15333244,0.07661653,-0.37968352,0.0,0.0,0.0,-0.0051896265,0.048597485,0.010412855,0.11630052,0.0,0.0,-0.007833469,0.05061081,0.0,0.0,0.13365625,0.035388716,0.04027641,0.0,0.002005069,0.0,0.0,-0.018114321,0.002799976,0.21761644,-0.0056862896,-0.00077722536,0.0,0.0,-0.013547106,0.0028375573,0.015450847,0.0009020653,-0.03814628,0.0,0.0,-0.030435484,0.023314845,0.33620042,-0.0018888318,-0.041857086,0.0,0.015527253,0.0,0.25134632,0.0,0.008020441,0.0,-0.024957187,0.0,-0.026306916,0.0,0.0,-0.061015826,0.04011312,0.0012050722,-0.08289125,0.0,-0.18044169,0.0,-0.1408981,0.0,0.0,0.023475697,0.0,0.0,0.011161704,-0.005954753,-0.018409213,0.007657333,0.013520338
0.056197163,0.060364805,-0.0003021101,-1.4810511,0.0059984964,0.09915998,0.034075614,0.0,0.0,0.0,-0.0017332905,0.012031661,-0.009257456,0.025245553,0.0,0.0,-0.0021818094,0.10159649,0.0,0.0,0.0442783,0.022658538,0.007174027,0.0,0.0113061145,0.0,0.0,-0.020076105,-0.006697818,0.23169795,-0.01088578,-0.029223671,0.0,0.0,-0.00011457957,0.0018936668,-0.09886194,0.0010203698,-0.07904668,0.0,0.0,-0.05451032,0.053064786,-0.062467143,-0.07594989,-0.08993453,0.0,-0.046471633,0.0,-0.048114214,0.0,0.022210496,0.0,-0.028051449,0.0,0.024150671,0.0,0.0,-0.020099014,0.05628845,0.06809262,0.0263749,0.0,-0.1500057,0.0,0.032552518,0.0,0.0,-0.004583623,0.0,0.0,0.0086604925,-0.013123728,-0.03597098,0.0058650333,-0.020260416
0.13192298,0.012396467,-0.1261747,0.06642599,-0.09105984,0.0073867035,0.09580789,0.0,0.0,0.0,-0.0017332905,0.029316582,-0.009761011,0.028194591,0.0,0.0,-0.0017346449,-0.06568753,0.0,0.0,-0.062089223,0.041781507,0.0106104,0.0,0.010929665,0.0,0.0,-0.025329899,-0.015775727,-0.08695667,0.003585605,-0.0345954,0.0,0.0,-0.0005007945,0.0024359403,-0.060732953,0.0019720993,-0.08318181,0.0,0.0,-0.055947132,0.030051878,-0.024507523,-0.005629667,-0.0848194,0.0,-0.06671593,0.0,-0.038929746,0.0,-0.012093544,0.0,0.016888231,0.0,0.0014149726,0.0,0.0,-0.02216957,-0.038495515,-0.023912,0.04446598,0.0,-0.17378329,0.0,0.032911573,0.0,0.0,0.00718969,0.0,0.0,0.0091213975,-0.049126253,0.0059563257,0.0063923867,0.01073402
-0.41633654,0.14163607,-0.060527835,-0.26046348,0.06683051,-0.15381351,0.015856551,0.0,0.0,0.0,-0.0018110526,0.044010606,-0.002056671,0.029089112,0.0,0.0,-0.002134173,-0.04818902,0.0,0.0,-0.064431794,-0.7378798,0.013890998,0.0,0.015859148,0.0,0.0,-0.021819226,-0.06643211,-0.05956469,-0.041884873,-0.023215989,0.0,0.0,-0.004709201,0.0016764047,-0.0096845785,0.0010136592,-0.0005520598,0.0,0.0,-0.057771176,-0.007349217,-0.05570939,-0.03581346,-0.113904975,0.0,-0.039304923,0.0,-0.011841984,0.0,-0.037962705,0.0,-0.044826075,0.0,0.020858731,0.0,0.0,-0.06496817,0.018527132,0.04150013,-0.48203605,0.0,-0.23866862,0.0,-0.14097282,0.0,0.0,-0.031018708,0.0,0.0,0.008182308,-0.087235734,-0.029242618,0.005820539,0.0014925962
