,sex,birthyear,height_ft,height_in,experience02,hhsize97,homelessness,faminjail,foodstamp,marijuana,cocaine,anydrug,numberofarrestsby2002,arrestedafter2002,convictedby2002,num_weight,birthmonth,race_ethnicity,race_specific,weight,married02,educ02,college02,parentrelations,urbanrural,victim,askgod,godhasnothingtodo,expectdeath,depression,race
21,1,1983,5,8,0,5,0,0,0,1,0,1,11,0,1,210.0,2,1,3,75,5,0,8,2,1,0,3,2,1,1,3
22,1,1980,5,9,1,4,0,0,1,1,0,1,4,1,1,140.0,10,1,4,22,3,4,9,9,4,0,2,2,8,2,3
23,0,1981,5,4,2,4,0,0,0,1,0,1,3,0,1,110.0,11,3,5,4,4,4,9,9,0,1,3,2,1,3,5
24,1,1980,6,0,1,5,1,0,0,1,1,1,1,0,1,187.0,0,3,5,55,1,3,6,7,4,0,2,3,2,3,5
25,0,1980,5,5,1,9,0,0,0,1,1,1,1,0,1,130.0,7,0,2,14,5,4,9,7,2,0,3,2,8,2,2
26,0,1984,5,4,0,5,0,0,0,1,1,1,10,0,1,145.0,2,3,5,26,4,0,8,7,2,1,3,2,1,2,5
27,1,1984,5,6,3,6,0,0,0,0,0,0,2,0,0,140.0,3,1,3,22,4,0,3,2,1,0,2,2,1,2,3
28,1,1983,5,11,4,4,0,0,0,1,0,1,2,0,0,325.0,4,0,2,0,5,4,9,9,4,0,3,2,1,3,2
29,0,1980,5,6,1,4,0,0,0,0,0,0,1,0,0,190.0,4,1,5,65,5,4,7,8,4,1,3,2,,2,3
30,1,1982,5,10,2,6,0,0,0,0,0,0,1,0,1,187.0,4,0,2,55,5,4,9,9,4,0,3,2,1,2,2
31,1,1980,6,1,3,4,0,0,0,1,0,1,2,0,0,290.0,11,3,5,96,4,4,1,9,0,0,3,2,14,2,5
32,0,1984,5,2,1,6,0,0,0,0,0,0,3,1,0,140.0,10,0,2,22,5,0,8,2,1,0,3,2,1,2,2
33,1,1983,5,11,4,4,0,0,0,1,1,1,4,1,1,145.0,6,3,5,26,5,0,8,5,4,0,3,2,1,3,5
34,1,1983,5,11,3,3,0,0,0,1,1,1,1,1,0,210.0,5,0,2,75,5,0,8,7,0,1,3,2,1,3,2
35,1,1981,5,7,0,6,0,0,0,0,0,0,4,0,1,185.0,0,1,3,61,7,4,9,9,4,0,3,3,1,2,3
36,1,1980,5,7,1,4,0,0,0,1,0,1,3,0,1,190.0,1,1,3,65,3,3,9,2,1,0,3,2,12,3,3
37,0,1982,5,1,1,6,0,0,0,1,0,1,2,0,1,135.0,1,2,2,17,5,0,8,0,0,0,3,2,1,2,4
38,1,1982,5,8,0,4,0,0,0,1,1,1,3,0,1,156.0,8,0,2,36,5,0,8,7,4,1,3,2,1,2,2
39,1,1980,5,6,4,4,0,0,0,1,0,1,1,0,1,160.0,2,1,3,40,5,4,7,12,4,0,2,3,7,3,3
40,1,1983,5,11,0,4,0,0,0,1,0,1,2,1,1,168.0,8,3,5,48,5,3,6,9,4,0,3,2,1,2,5
41,0,1980,5,7,3,5,0,0,0,1,1,1,2,1,1,162.0,8,3,5,31,5,1,4,7,4,0,3,2,4,3,5
42,0,1984,5,7,0,4,0,0,0,1,0,1,1,0,0,130.0,1,3,5,14,5,0,3,9,4,0,2,2,1,2,5
43,1,1981,6,2,2,6,0,0,0,1,0,1,1,1,0,195.0,0,3,5,68,5,4,7,2,1,0,3,3,1,2,5
44,0,1981,5,6,2,3,0,0,0,0,0,0,1,0,0,160.0,10,3,5,40,5,4,9,9,2,0,3,2,1,3,5
45,1,1984,5,9,0,3,0,0,0,0,0,0,1,0,0,212.0,6,0,2,71,5,0,3,7,4,0,3,3,1,2,2
46,0,1984,5,1,0,3,0,1,0,0,0,0,1,0,0,105.0,8,3,5,2,5,0,7,7,0,0,3,2,1,3,5
47,1,1981,6,5,1,3,0,1,0,1,0,1,1,1,0,215.0,0,0,2,77,5,4,7,12,4,0,2,2,1,2,2
48,1,1981,5,6,1,4,0,0,0,0,0,0,1,0,0,287.0,3,3,5,,5,0,8,7,4,0,2,3,1,2,5
49,1,1981,6,1,1,2,0,0,0,1,0,1,1,0,0,250.0,2,3,5,89,5,3,6,5,4,0,3,3,1,3,5
50,1,1984,5,9,2,4,0,0,0,0,0,0,3,1,0,165.0,2,1,5,45,5,0,8,7,0,0,3,3,1,3,3
51,0,1981,5,2,3,4,0,1,1,0,0,0,1,0,1,120.0,0,1,5,8,4,0,8,7,4,0,3,3,1,0,3
52,1,1981,6,1,2,3,0,0,0,1,0,1,1,0,0,212.0,9,3,5,71,5,4,0,7,4,0,3,2,1,1,5
53,0,1982,5,3,2,8,1,0,0,1,1,1,1,0,1,237.0,6,1,3,84,3,0,8,7,4,0,3,2,1,3,3
54,0,1983,5,2,0,4,0,0,0,0,0,0,4,0,1,120.0,8,1,3,8,5,0,8,2,1,0,3,3,1,2,3
55,1,1982,6,2,2,4,0,0,0,1,1,1,1,0,0,170.0,0,3,5,50,4,3,6,7,4,0,3,3,1,2,5
56,0,1980,5,6,3,5,0,0,0,1,0,1,1,1,0,130.0,8,3,5,14,5,4,9,12,4,0,2,2,12,2,5
57,1,1984,6,5,0,5,0,0,0,1,0,1,2,0,1,185.0,3,3,5,61,5,0,8,2,1,0,2,2,1,2,5
58,0,1984,5,6,2,3,0,0,1,1,1,1,12,0,1,105.0,9,3,5,2,4,0,8,7,4,1,3,2,1,2,5
59,1,1980,5,8,0,3,0,0,1,1,0,1,1,1,1,240.0,11,0,2,86,2,0,8,1,4,1,3,2,2,2,2
60,1,1982,5,9,3,4,0,0,0,1,0,1,2,1,1,185.0,2,0,2,61,5,4,1,7,0,0,3,2,1,2,2
61,1,1980,5,8,3,4,0,0,0,1,0,1,1,0,0,255.0,2,0,2,90,5,4,9,7,0,0,3,2,0,3,2
62,1,1982,5,9,1,5,0,0,0,0,0,0,2,0,0,145.0,10,0,2,26,5,4,1,7,0,0,3,2,1,2,2
63,0,1983,5,4,3,4,0,0,0,1,1,1,10,1,1,171.0,1,1,0,51,5,3,6,7,4,0,2,3,1,3,3
64,1,1984,6,1,3,6,0,0,0,1,0,1,1,1,1,170.0,6,1,3,50,5,0,8,7,4,0,3,2,1,3,3
65,1,1981,5,7,2,5,0,0,0,0,0,0,1,0,0,148.0,11,0,2,29,5,4,7,7,4,0,3,2,1,2,2
66,1,1984,6,11,3,5,0,0,0,1,1,1,1,1,1,180.0,7,3,5,57,5,0,8,9,4,0,2,2,1,3,5
67,1,1984,6,3,1,5,0,0,0,0,0,0,1,0,0,140.0,7,0,2,22,5,0,3,2,1,0,3,3,1,1,2
68,1,1982,5,3,3,5,0,0,0,0,0,0,1,0,0,155.0,4,3,5,35,5,4,9,9,4,0,2,2,1,2,5
69,1,1983,5,11,4,3,1,0,0,1,1,1,2,1,1,162.0,0,3,5,31,5,0,8,2,1,0,3,2,1,2,5
70,1,1982,5,8,3,6,0,0,0,0,0,0,1,0,0,160.0,6,0,2,40,5,4,7,5,4,0,3,2,1,2,2
71,0,1983,5,5,3,4,0,0,0,1,0,1,1,0,0,140.0,3,3,5,22,5,4,0,9,4,0,3,2,1,2,5
72,0,1983,5,5,2,3,0,0,0,1,0,1,3,1,1,140.0,6,3,5,22,5,0,8,7,2,0,2,2,1,3,5
73,1,1982,6,2,4,7,0,0,0,0,0,0,1,0,0,160.0,2,1,3,40,4,3,6,2,1,0,3,2,1,2,3
74,1,1984,6,1,1,6,0,0,0,0,0,0,1,0,0,197.0,11,1,3,69,5,0,8,7,4,0,2,2,1,2,3
75,1,1982,6,2,1,7,0,0,0,0,0,0,3,0,0,220.0,7,0,2,79,5,0,8,7,0,0,3,2,1,3,2
76,1,1984,6,2,0,4,0,1,0,1,0,1,2,1,0,300.0,3,1,0,0,5,0,3,7,4,1,2,2,1,1,3
