,sex,birthyear,height_ft,height_in,experience02,hhsize97,homelessness,faminjail,foodstamp,marijuana,cocaine,anydrug,numberofarrestsby2002,arrestedafter2002,convictedby2002,num_weight,birthmonth,race_ethnicity,race_specific,weight,married02,educ02,college02,parentrelations,urbanrural,victim,askgod,godhasnothingtodo,expectdeath,depression,race
188,1,1980,5,7,3,3,0,0,1,1,1,1,1,1,0,140.0,9,3,5,22,4,0,8,5,0,0,2,3,12,1,5
189,0,1983,5,4,0,3,0,0,0,0,1,1,1,0,0,140.0,3,0,2,22,5,0,8,2,1,0,3,3,1,3,2
190,1,1981,6,0,1,4,0,1,0,1,1,1,2,0,1,165.0,10,3,5,45,5,3,9,9,4,1,2,3,1,2,5
191,1,1983,6,-3,0,4,0,0,0,1,0,1,2,0,1,140.0,9,1,2,22,5,0,8,7,4,0,2,3,1,2,3
192,1,1980,5,8,2,8,0,0,0,0,0,0,1,0,1,162.0,2,0,2,31,3,0,8,2,1,0,3,2,12,3,2
193,1,1983,6,2,3,4,0,0,0,0,0,0,8,0,1,193.0,10,3,5,66,4,0,8,7,4,1,2,2,1,2,5
194,0,1984,5,9,0,4,0,0,0,0,0,0,1,0,0,158.0,8,0,2,38,5,0,3,7,4,0,3,2,1,3,2
195,1,1983,6,1,3,5,0,0,0,1,0,1,1,0,0,158.0,1,3,5,38,5,4,7,9,2,0,2,2,1,2,5
196,1,1983,5,11,3,5,0,0,0,1,1,1,1,0,1,230.0,3,1,5,82,5,4,7,7,0,0,2,2,1,2,3
197,1,1980,5,9,1,5,0,0,0,0,0,0,2,1,1,190.0,1,3,1,65,5,4,7,2,1,0,3,2,12,2,1
198,1,1984,5,8,1,3,0,0,0,1,1,1,1,1,1,130.0,3,3,1,14,5,4,7,7,4,0,2,3,1,2,1
199,1,1982,5,10,2,3,0,0,0,0,0,0,2,1,1,145.0,0,3,5,26,5,0,8,2,1,0,3,3,1,3,5
200,1,1984,6,0,1,4,0,0,0,1,0,1,1,0,0,205.0,1,1,5,73,5,4,1,7,4,0,3,3,1,3,3
201,1,1980,5,9,5,5,0,1,0,1,1,1,4,0,1,140.0,11,3,5,22,5,0,8,6,2,0,3,3,2,3,5
202,1,1983,5,8,1,5,0,1,0,1,1,1,1,0,1,180.0,11,1,5,57,4,0,8,9,4,0,2,2,1,2,3
203,1,1980,5,9,0,3,0,0,0,0,0,0,1,0,0,187.0,5,0,2,55,4,4,9,2,1,0,3,2,2,2,2
204,0,1984,5,4,1,4,0,0,0,1,1,1,3,1,1,162.0,6,3,5,31,5,0,8,5,0,0,2,3,1,0,5
205,1,1982,5,9,3,4,0,0,0,1,0,1,1,0,0,162.0,4,0,2,31,5,1,1,9,4,1,3,3,1,2,2
206,1,1981,5,11,3,5,0,1,0,0,0,0,1,0,1,210.0,5,1,3,75,1,4,7,9,4,0,3,2,1,2,3
207,1,1981,5,10,2,7,0,0,0,1,0,1,1,1,0,170.0,1,0,2,50,5,4,7,7,4,0,3,3,1,2,2
208,1,1982,5,6,4,5,0,0,0,1,0,1,2,0,1,160.0,10,3,5,40,5,0,8,7,4,0,3,2,1,3,5
209,0,1983,5,6,1,5,0,0,0,0,0,0,1,0,0,190.0,3,0,2,65,5,4,0,7,4,0,3,2,1,2,2
210,0,1981,5,4,0,4,0,1,0,0,0,0,1,0,0,127.0,8,0,2,12,3,3,6,7,4,0,3,2,1,2,2
211,1,1982,5,11,2,4,0,1,0,1,0,1,7,1,1,275.0,4,3,5,93,4,0,8,7,4,0,3,2,1,2,5
212,1,1984,6,6,1,7,0,0,0,1,0,1,3,0,0,195.0,1,0,2,68,5,0,3,7,4,0,3,2,1,2,2
213,1,1984,5,11,2,3,0,0,0,0,0,0,1,0,0,187.0,0,3,5,55,5,4,7,2,1,0,3,2,1,1,5
214,1,1981,5,9,1,5,0,0,1,0,0,0,1,0,0,162.0,3,3,5,31,3,0,8,5,4,0,2,2,1,2,5
215,1,1983,5,6,2,4,0,0,0,1,1,1,1,0,0,145.0,8,3,5,26,5,3,6,9,0,0,3,3,1,3,5
216,0,1980,5,6,3,3,0,0,0,1,0,1,2,0,1,270.0,6,3,5,92,6,0,8,12,4,0,2,2,11,3,5
217,1,1983,5,9,1,4,0,0,0,1,0,1,1,0,0,180.0,1,3,5,57,5,4,1,9,2,0,3,2,1,2,5
218,1,1983,5,7,1,5,0,0,0,1,1,1,1,1,0,137.0,0,3,5,11,5,0,8,2,1,0,3,2,1,2,5
219,1,1981,6,2,0,5,0,0,0,1,0,1,3,0,1,160.0,9,0,2,40,5,0,8,7,4,0,3,2,1,2,2
220,1,1981,6,0,3,4,0,0,0,0,0,0,1,0,0,165.0,4,0,2,45,5,4,0,9,4,0,2,2,1,3,2
221,1,1980,5,6,3,6,0,0,0,1,1,1,1,0,1,240.0,9,1,3,86,4,0,8,7,4,0,2,3,7,3,3
222,1,1983,5,9,1,5,0,0,0,1,0,1,1,1,1,162.0,3,3,1,31,4,4,7,9,4,0,2,2,1,2,1
223,1,1982,5,10,2,4,0,0,0,0,0,0,1,1,0,165.0,8,0,2,45,5,3,6,12,4,0,3,2,1,3,2
224,0,1983,5,3,5,3,0,0,0,1,1,1,1,0,0,110.0,3,1,3,4,5,3,9,9,4,1,3,2,1,1,3
225,1,1982,5,7,4,4,0,0,0,1,0,1,1,0,1,128.0,2,3,5,13,5,4,7,9,2,0,2,2,1,2,5
226,1,1981,5,6,1,3,0,1,0,1,1,1,9,0,1,155.0,11,1,5,35,4,3,6,6,4,0,3,2,1,2,3
227,0,1980,5,7,2,2,0,0,0,1,0,1,1,0,0,135.0,8,0,2,17,5,0,8,7,0,0,3,2,12,3,2
228,1,1984,5,11,0,7,0,0,0,0,0,0,3,0,0,198.0,6,1,3,70,5,0,3,9,4,0,2,3,1,3,3
229,1,1982,5,6,3,4,0,0,0,1,1,1,4,1,1,130.0,7,3,5,14,5,4,1,3,2,0,2,2,1,3,5
230,1,1984,5,7,1,5,0,0,0,0,0,0,2,0,1,135.0,5,3,1,17,5,4,0,2,1,1,2,2,1,2,1
231,0,1984,5,5,0,5,0,0,1,0,1,1,7,1,1,120.0,9,0,2,8,5,0,8,9,2,0,3,3,1,0,2
232,1,1981,5,7,1,5,0,0,0,0,0,0,4,0,1,170.0,7,0,2,50,5,4,0,2,1,0,2,3,1,3,2
233,1,1980,6,2,0,4,0,0,0,1,1,1,6,0,0,140.0,11,0,2,22,5,0,8,2,1,0,2,2,15,0,2
234,1,1981,6,2,3,4,0,0,0,1,0,1,1,1,1,168.0,3,0,2,48,5,4,9,7,4,0,3,2,1,2,2
235,1,1984,5,10,1,4,0,0,0,1,1,1,1,0,1,162.0,3,3,5,31,5,3,6,2,1,0,3,2,1,2,5
236,1,1984,5,11,0,2,0,0,0,1,1,1,1,0,1,153.0,7,3,5,33,5,4,0,7,4,0,3,2,1,2,5
237,1,1983,6,1,2,7,1,1,0,1,0,1,1,0,1,250.0,4,3,5,89,5,4,7,7,4,1,2,3,1,2,5
238,0,1981,5,3,3,5,0,0,0,1,0,1,1,0,1,135.0,4,3,5,17,5,4,7,7,4,1,3,2,1,3,5
239,1,1981,5,8,0,4,0,1,0,1,0,1,5,1,1,170.0,1,0,2,50,5,0,8,3,2,0,3,2,1,2,2
240,1,1982,5,11,1,7,0,1,0,1,1,1,4,1,0,162.0,7,0,2,31,5,0,8,7,4,0,3,2,1,2,2
241,0,1980,5,3,4,3,1,0,1,0,0,0,1,0,0,162.0,7,3,5,31,4,3,6,7,4,0,2,2,3,3,5
242,0,1981,5,2,2,4,0,1,0,0,0,0,5,1,1,218.0,9,1,3,78,2,4,7,7,4,0,3,3,1,2,3
243,1,1984,6,1,4,5,0,0,0,1,0,1,1,0,0,187.0,4,3,5,55,5,4,7,9,0,0,3,2,1,2,5
244,1,1983,5,8,2,2,0,0,0,1,0,1,1,1,1,143.0,4,0,2,24,5,3,6,7,4,0,3,2,1,3,2
245,0,1983,5,5,1,5,0,0,0,1,1,1,1,0,0,127.0,8,3,5,12,5,0,3,9,0,0,2,3,1,2,5
246,0,1980,5,4,3,6,0,0,0,1,0,1,2,0,0,152.0,2,0,2,32,5,4,7,7,4,0,3,2,2,3,2
247,1,1982,5,9,1,3,0,0,0,0,0,0,2,0,0,162.0,9,0,2,31,5,4,7,1,4,0,3,2,1,2,2
248,1,1980,6,3,4,4,0,0,0,1,0,1,1,0,0,178.0,0,3,5,56,5,4,7,7,4,0,3,2,4,1,5
249,1,1984,5,7,2,2,0,0,0,0,0,0,1,0,1,180.0,7,1,3,57,5,4,7,2,1,0,3,2,1,2,3
250,0,1980,5,6,2,3,0,0,1,0,1,1,1,1,0,162.0,2,3,5,31,7,0,8,7,4,0,3,2,2,1,5
251,0,1981,5,4,1,3,0,0,0,0,0,0,2,0,0,115.0,5,3,5,5,4,4,9,9,4,0,2,2,1,2,5
252,1,1983,5,11,0,4,0,0,0,1,0,1,1,1,0,187.0,5,0,2,55,5,0,8,7,0,0,3,2,1,2,2
253,1,1980,6,1,3,5,0,0,0,1,0,1,2,0,1,237.0,2,3,5,81,3,0,8,7,0,0,3,3,13,3,5
254,1,1982,5,5,3,7,0,0,0,0,0,0,3,0,0,140.0,4,1,5,22,5,0,3,9,2,0,3,2,1,2,3
255,0,1984,5,2,0,4,0,0,0,1,1,1,2,0,0,115.0,8,3,5,5,5,3,6,9,0,1,3,2,1,2,5
256,0,1982,5,1,1,3,0,0,0,0,0,0,1,0,0,112.0,9,1,5,,5,0,8,2,1,1,3,2,1,3,3
257,1,1984,5,9,1,4,0,0,0,1,0,1,1,1,0,162.0,1,3,5,31,5,0,3,2,1,0,3,3,1,3,5
258,1,1983,6,0,0,6,0,0,0,0,0,0,2,0,0,162.0,2,0,2,42,5,0,3,7,0,0,3,2,1,2,2
259,0,1982,5,2,0,5,0,0,0,0,0,0,1,1,0,232.0,9,0,2,,5,4,7,9,2,0,2,2,1,3,2
260,0,1982,5,5,1,4,0,0,0,1,1,1,1,1,0,137.0,2,1,3,11,4,4,7,12,4,0,2,3,1,2,3
261,0,1980,5,4,3,3,1,1,1,1,1,1,3,0,1,120.0,2,3,5,8,5,0,8,7,0,0,3,2,12,2,5
262,0,1980,5,2,6,5,0,1,0,1,0,1,1,0,0,132.0,4,3,5,15,2,0,8,2,1,0,3,3,9,3,5
263,1,1984,5,6,2,4,0,0,0,1,0,1,1,0,0,168.0,10,1,3,48,3,4,7,7,0,0,3,2,1,2,3
264,1,1982,5,8,5,3,0,0,0,1,1,1,4,0,1,185.0,4,3,5,61,4,4,7,0,4,0,2,2,1,2,5
265,1,1984,6,0,0,4,0,0,0,0,0,0,1,1,0,6.0,1,0,2,0,5,0,3,7,4,0,3,2,1,3,2
266,1,1981,6,0,2,4,0,0,0,1,0,1,5,0,1,180.0,2,3,5,57,5,4,0,6,0,0,3,2,1,2,5
267,0,1981,5,3,0,3,0,0,0,0,0,0,1,0,0,115.0,2,3,5,5,3,4,7,7,4,0,3,2,1,2,5
268,1,1980,6,3,1,6,0,0,0,1,0,1,4,0,1,210.0,2,0,4,75,5,4,1,7,4,1,2,2,7,2,2
269,0,1982,5,6,0,3,0,0,1,1,0,1,1,1,0,115.0,11,3,5,5,5,0,8,7,4,0,3,2,1,3,5
270,1,1983,5,8,4,6,0,0,0,0,0,0,1,0,1,210.0,3,3,5,75,5,4,9,7,0,0,2,2,1,2,5
271,0,1983,5,4,2,4,0,0,1,1,0,1,1,0,1,155.0,3,3,5,35,5,0,8,7,4,0,3,3,1,3,5
272,1,1981,6,2,1,4,0,1,0,1,0,1,7,0,0,215.0,2,1,5,77,4,4,0,7,0,1,2,2,1,2,3
273,0,1980,5,5,3,7,0,0,1,0,0,0,1,0,1,155.0,11,1,5,35,3,4,7,9,4,0,3,2,12,2,3
274,0,1984,5,6,1,4,0,0,1,1,1,1,17,0,1,155.0,10,3,5,35,4,0,8,2,1,1,3,2,1,3,5
275,0,1981,5,7,5,3,0,0,0,0,0,0,1,0,1,165.0,10,0,4,45,5,3,0,7,4,0,2,2,1,2,2
276,0,1983,5,1,1,5,0,0,0,1,1,1,2,1,1,98.0,2,3,5,0,4,0,8,7,4,1,3,2,1,1,5
277,0,1983,5,5,3,5,0,1,1,1,1,1,6,0,1,170.0,9,3,5,50,4,0,3,9,4,0,3,2,1,2,5
278,1,1982,5,10,0,5,0,0,0,1,0,1,1,0,0,169.0,7,0,2,49,5,4,1,9,4,0,3,2,1,3,2
279,1,1981,5,6,1,6,0,0,0,0,0,0,1,0,1,156.0,5,0,2,36,5,4,7,2,1,0,3,3,1,1,2
280,0,1983,5,4,1,5,0,0,0,1,0,1,1,0,0,178.0,11,1,5,56,5,0,8,4,4,0,2,2,1,3,3
281,1,1981,5,8,1,4,0,0,0,1,0,1,1,1,0,178.0,0,1,3,56,5,4,7,2,1,0,3,2,1,2,3
282,1,1983,5,5,1,4,0,1,0,1,0,1,6,1,1,162.0,5,0,2,31,4,3,7,2,1,0,3,2,1,2,2
283,0,1984,5,10,5,5,0,0,0,1,1,1,2,1,0,190.0,2,3,5,65,5,0,6,9,2,0,2,2,1,2,5
284,1,1980,5,11,1,4,0,0,0,0,0,0,9,0,1,152.0,2,0,2,32,5,0,6,7,4,0,3,2,12,2,2
285,1,1981,6,1,0,4,0,0,0,1,1,1,2,0,1,187.0,0,3,5,55,3,4,7,9,0,0,3,2,1,2,5
286,0,1980,5,5,1,5,0,0,0,1,0,1,1,0,0,162.0,10,3,5,31,1,3,6,7,4,0,3,2,12,2,5
287,1,1984,6,0,1,5,0,0,0,0,0,0,1,0,0,185.0,3,3,5,61,5,0,8,9,0,0,3,2,1,2,5
288,1,1980,5,6,1,6,0,0,0,0,0,0,1,1,0,160.0,11,3,5,40,3,3,6,9,4,0,2,2,4,2,5
289,1,1980,5,7,2,3,0,0,0,0,1,1,1,0,1,156.0,8,3,5,36,3,3,6,4,0,0,2,3,2,2,5
290,1,1981,6,2,2,4,0,1,0,1,0,1,5,1,1,165.0,2,3,5,45,4,0,8,7,2,0,2,3,1,2,5
291,1,1983,5,0,1,5,0,0,0,1,0,1,1,0,0,180.0,2,3,5,57,5,0,3,7,2,0,3,2,1,3,5
292,1,1980,6,10,2,5,0,0,1,1,1,1,2,0,0,210.0,1,3,5,75,4,3,6,5,4,1,2,3,11,3,5
293,1,1982,6,2,1,4,0,0,0,1,0,1,4,0,1,290.0,5,3,5,96,3,0,8,7,0,0,3,2,1,3,5
294,1,1984,5,8,1,5,0,0,0,1,0,1,1,1,1,147.0,3,3,5,28,5,0,8,9,2,0,2,3,1,2,5
295,1,1983,5,10,1,9,0,0,0,0,0,0,1,0,0,224.0,3,1,3,,5,3,0,9,4,0,3,3,1,2,3
296,0,1983,5,6,0,3,0,0,1,0,0,0,1,0,0,160.0,7,0,2,40,5,4,7,7,4,0,3,3,1,2,2
297,1,1983,6,1,2,3,0,0,0,1,0,1,1,0,0,165.0,4,0,2,45,5,0,8,7,2,0,3,3,1,2,2
298,1,1982,5,3,2,3,0,0,0,1,1,1,2,1,0,210.0,5,3,5,75,5,4,7,7,4,0,2,3,1,2,5
299,0,1984,5,4,1,10,0,0,0,0,0,0,3,0,0,105.0,9,0,2,2,5,0,3,7,4,0,3,2,1,3,2
300,0,1981,5,2,2,4,0,0,0,1,1,1,2,0,0,160.0,0,3,5,40,5,4,0,9,2,0,3,3,1,1,5
301,1,1983,5,10,0,7,0,0,0,1,0,1,9,0,0,240.0,11,0,2,86,5,0,8,7,0,0,3,2,1,3,2
302,1,1984,5,10,3,3,0,1,0,1,0,1,3,0,1,180.0,1,3,5,57,5,0,8,5,2,0,3,2,1,2,5
303,1,1981,5,9,2,6,0,0,0,1,0,1,1,0,1,162.0,9,1,5,31,5,0,8,7,4,0,3,3,1,2,3
304,1,1984,6,1,1,4,0,0,0,1,1,1,10,1,1,195.0,6,3,5,68,5,3,6,9,4,1,2,2,1,2,5
305,0,1982,5,2,3,2,0,1,0,1,1,1,5,0,0,130.0,4,3,5,14,5,4,1,7,4,0,2,2,1,2,5
306,1,1982,6,2,4,5,0,0,0,1,1,1,1,0,0,215.0,9,1,5,77,5,3,6,7,4,0,3,2,1,3,3
307,0,1982,5,3,2,2,0,0,0,1,0,1,1,0,0,187.0,10,3,5,55,5,4,7,7,2,0,3,2,1,3,5
308,0,1984,5,5,3,4,0,0,0,0,0,0,2,0,0,137.0,3,3,5,11,4,4,7,9,2,0,3,2,1,3,5
309,1,1980,5,10,3,5,0,0,0,1,0,1,1,0,1,170.0,10,1,5,50,5,4,9,9,4,0,3,3,10,3,3
310,1,1981,6,1,2,6,0,0,0,0,0,0,1,1,1,163.0,7,3,5,43,4,4,7,7,0,0,2,2,1,2,5
311,1,1980,6,0,1,5,0,0,0,1,0,1,1,0,0,185.0,11,3,5,61,5,4,1,9,4,0,3,2,4,2,5
312,1,1980,5,11,3,5,0,0,0,1,1,1,2,0,1,155.0,10,3,5,35,5,3,7,9,4,0,2,3,2,2,5
313,0,1982,5,3,1,5,0,0,0,0,0,0,3,0,0,130.0,9,1,3,14,4,4,7,2,1,0,3,2,1,2,3
314,1,1984,6,3,3,5,0,0,0,1,1,1,1,0,0,212.0,9,3,5,71,5,4,0,9,4,0,3,2,1,2,5
315,0,1983,5,6,1,2,0,0,1,0,0,0,1,0,0,190.0,2,0,2,65,4,0,8,7,4,1,3,2,1,3,2
316,1,1980,6,4,1,3,1,0,0,1,0,1,3,1,1,180.0,7,3,5,57,4,4,7,8,2,0,3,2,8,2,5
317,0,1982,5,1,3,6,0,0,0,0,0,0,1,0,0,85.0,7,1,3,0,5,4,7,9,4,0,3,3,1,2,3
318,1,1980,6,4,4,4,0,0,0,1,0,1,1,0,0,157.0,3,3,5,37,4,0,8,7,2,0,3,2,7,2,5
319,0,1984,4,11,1,5,0,0,0,1,0,1,4,1,0,162.0,6,0,2,31,5,0,7,7,4,0,3,3,1,2,2
320,0,1981,5,4,1,5,0,0,1,1,0,1,1,0,1,130.0,3,3,5,14,3,4,7,7,0,0,3,2,1,0,5
321,0,1980,5,8,1,3,0,0,0,1,1,1,1,0,0,145.0,0,3,5,26,3,4,1,9,4,0,3,2,11,2,5
322,1,1983,6,1,1,4,0,0,0,1,1,1,5,1,1,230.0,5,0,2,82,5,0,8,7,4,0,3,2,1,2,2
323,0,1983,5,6,0,5,0,0,1,0,0,0,3,0,1,140.0,6,1,0,22,5,4,7,7,4,0,3,2,1,2,3
324,1,1982,6,1,5,4,0,0,0,1,0,1,1,0,0,155.0,3,3,5,35,5,4,1,2,1,0,2,1,1,2,5
325,1,1984,5,8,1,5,1,0,1,1,0,1,6,1,1,127.0,9,3,0,12,5,0,6,9,2,0,2,2,1,3,0
326,0,1982,5,2,1,4,0,1,0,0,0,0,2,0,0,112.0,1,3,5,1,5,0,8,7,0,0,3,2,1,3,5
327,1,1983,5,10,2,4,0,0,0,0,0,0,1,0,0,185.0,6,0,2,61,5,0,8,7,4,1,3,2,1,2,2
328,1,1980,6,4,1,4,0,0,0,1,1,1,1,0,1,255.0,7,3,5,90,5,2,5,9,4,0,2,3,2,3,5
329,1,1981,5,5,2,8,0,0,0,0,0,0,1,0,1,148.0,11,1,3,29,5,0,8,2,1,1,3,2,1,3,3
330,1,1982,5,8,5,6,0,0,0,1,1,1,1,0,0,155.0,11,3,5,35,5,4,9,8,2,0,3,2,1,2,5
331,1,1983,5,4,0,3,0,0,0,1,0,1,1,0,1,135.0,10,0,2,17,5,0,3,7,4,0,3,2,1,2,2
332,0,1980,5,5,4,4,0,0,1,1,1,1,2,0,0,145.0,7,1,5,26,5,4,7,7,0,0,3,2,2,2,3
333,0,1984,5,4,1,5,0,1,0,1,0,1,3,0,1,160.0,6,0,2,40,5,0,8,7,4,0,3,2,1,3,2
334,0,1980,5,9,1,3,0,0,0,0,0,0,1,1,0,160.0,3,3,5,40,0,3,6,2,1,1,2,3,,1,5
335,1,1983,6,1,1,5,0,0,0,0,0,0,1,0,0,160.0,5,3,5,40,5,4,7,9,2,0,3,2,1,2,5
336,0,1984,5,4,0,9,1,0,0,1,0,1,1,0,1,142.0,5,0,2,23,5,0,3,9,0,0,3,2,1,2,2
337,1,1982,5,7,0,4,0,0,0,1,0,1,1,1,1,134.0,11,0,2,16,5,0,8,7,4,0,3,2,1,2,2
338,1,1984,6,1,1,3,0,0,0,1,1,1,1,0,0,190.0,11,3,5,65,5,0,3,9,0,0,2,3,1,2,5
339,1,1981,5,7,3,4,0,0,0,0,0,0,1,0,1,182.0,9,0,2,58,5,3,6,5,4,0,3,2,1,2,2
340,0,1983,5,7,0,5,1,0,0,1,0,1,4,0,1,160.0,6,0,2,40,5,0,8,7,4,1,3,3,1,0,2
341,1,1980,5,8,1,4,0,0,0,1,1,1,2,1,1,145.0,10,3,5,26,5,2,1,9,0,0,2,2,3,2,5
342,0,1983,5,3,2,6,0,0,0,0,0,0,6,0,1,137.0,4,3,5,11,4,0,8,5,2,0,3,2,1,3,5
343,1,1981,5,7,1,4,0,0,0,0,0,0,6,0,0,170.0,9,0,2,50,5,0,8,9,4,0,3,2,1,2,2
344,1,1980,5,4,2,6,0,0,1,1,0,1,1,0,0,140.0,11,3,5,22,3,4,7,2,1,0,2,3,,3,5
345,1,1983,6,3,3,5,1,0,0,1,1,1,1,0,1,190.0,10,3,5,65,5,4,7,7,4,0,2,2,1,3,5
346,1,1984,5,3,1,5,0,1,0,1,1,1,4,0,1,137.0,3,0,2,11,5,0,8,12,4,0,2,2,1,3,2
347,1,1984,5,5,0,4,0,0,0,1,1,1,6,1,1,145.0,4,1,5,26,5,0,3,7,4,0,3,3,1,3,3
348,1,1981,6,0,2,3,0,0,0,1,1,1,1,1,1,212.0,0,3,5,71,5,0,8,9,4,0,2,3,1,2,5
349,1,1981,6,2,0,4,0,0,0,1,0,1,2,0,1,160.0,1,3,0,40,5,0,8,9,4,0,3,2,1,3,0
350,1,1984,6,2,3,6,0,0,0,1,0,1,3,1,1,215.0,3,0,2,77,5,3,6,5,4,1,3,3,1,2,2
351,0,1980,5,0,1,4,0,0,0,1,0,1,1,0,0,128.0,6,0,2,13,5,4,7,7,2,0,3,2,2,2,2
352,1,1982,5,6,0,2,0,0,0,0,0,0,1,0,0,215.0,2,0,2,77,5,0,3,7,4,0,2,2,1,2,2
353,0,1984,5,6,1,4,1,0,0,1,1,1,2,0,0,110.0,1,3,5,4,5,0,3,7,4,1,3,2,1,1,5
354,1,1981,6,9,3,3,0,0,0,1,0,1,2,0,1,190.0,6,0,2,65,5,4,7,2,1,0,3,2,1,2,2
355,1,1981,5,8,3,3,0,0,0,1,1,1,1,1,0,170.0,11,1,3,50,5,4,7,2,1,0,2,3,1,2,3
356,1,1981,5,5,0,4,0,0,1,1,0,1,5,0,1,145.0,9,0,2,26,4,0,3,5,4,0,3,2,1,1,2
357,0,1981,5,3,1,5,0,0,0,1,0,1,9,0,1,105.0,7,3,5,2,4,4,7,8,4,0,2,3,1,2,5
358,1,1980,6,4,2,5,0,1,0,1,0,1,1,1,1,145.0,10,0,2,26,5,3,9,0,4,0,3,2,2,3,2
359,1,1980,6,0,1,5,0,0,0,1,1,1,2,0,1,160.0,6,1,5,40,2,4,7,9,4,0,3,2,12,2,3
360,1,1984,5,11,2,4,0,0,0,0,0,0,1,0,0,162.0,7,0,2,31,5,0,3,7,4,0,3,2,1,3,2
361,1,1983,6,0,3,4,0,0,0,1,0,1,4,0,1,140.0,6,3,5,22,5,3,9,9,4,0,2,3,1,2,5
362,1,1981,5,11,4,3,0,1,0,0,0,0,3,0,1,162.0,5,3,5,31,5,0,8,8,4,0,3,2,1,2,5
363,1,1982,5,10,1,3,0,0,0,1,1,1,2,0,1,155.0,8,3,5,35,5,4,0,9,4,1,2,2,1,2,5
364,1,1980,5,11,1,2,0,0,0,1,1,1,2,0,0,240.0,3,3,5,86,5,4,9,7,4,1,3,3,12,3,5
365,1,1980,6,1,2,5,0,0,0,1,0,1,2,1,1,180.0,9,0,2,57,4,0,8,7,4,0,2,2,10,2,2
366,1,1982,6,2,1,2,0,0,0,0,0,0,2,1,1,185.0,6,0,2,61,5,4,7,7,4,0,3,2,1,2,2
367,0,1981,5,4,2,6,0,0,0,0,0,0,2,0,0,120.0,5,0,2,8,5,4,7,2,1,1,3,2,1,2,2
368,0,1980,5,9,0,4,0,1,1,1,0,1,1,0,0,187.0,8,0,2,55,4,3,6,8,4,0,3,2,4,2,2
369,1,1981,5,5,1,5,0,0,0,1,1,1,2,0,1,230.0,1,3,5,82,5,0,8,2,1,0,2,2,1,2,5
370,1,1980,5,7,1,5,0,0,0,1,0,1,3,0,0,160.0,8,0,2,40,7,0,8,12,0,1,3,3,2,0,2
371,1,1984,6,2,3,3,0,0,0,1,1,1,1,0,0,156.0,0,3,5,36,5,0,3,9,4,0,2,2,1,3,5
372,1,1981,5,10,1,3,0,0,0,1,0,1,1,1,0,155.0,7,3,5,35,5,4,1,3,4,0,2,3,1,2,5
373,1,1980,5,9,1,6,1,0,0,1,0,1,8,0,0,285.0,0,0,2,95,4,0,6,0,4,0,2,1,0,2,2
374,1,1981,5,11,0,11,0,0,0,1,0,1,2,0,1,212.0,8,0,2,71,5,0,6,2,1,1,3,2,1,2,2
375,0,1981,5,6,2,5,0,0,0,1,1,1,2,0,0,180.0,6,1,3,57,5,4,0,9,4,0,3,3,1,3,3
376,1,1983,6,2,5,3,0,0,0,1,1,1,1,0,1,260.0,9,3,5,91,5,4,9,8,4,1,3,2,1,1,5
377,1,1982,5,8,2,2,0,0,0,1,1,1,1,0,0,250.0,4,1,3,89,5,4,1,7,4,0,3,2,1,2,3
378,0,1981,5,6,2,3,0,1,0,1,0,1,1,0,0,145.0,1,3,5,26,3,0,3,8,0,0,2,2,1,1,5
379,1,1980,5,7,2,7,0,0,0,0,1,1,1,0,1,165.0,4,1,3,45,5,0,8,7,4,1,2,3,12,1,3
380,1,1983,5,4,0,3,0,0,0,1,0,1,1,0,0,137.0,8,0,2,11,5,4,9,7,2,1,3,2,1,2,2
381,0,1983,5,4,2,5,0,0,0,1,0,1,1,0,0,130.0,1,3,5,14,4,4,0,12,4,0,3,2,1,0,5
382,1,1981,5,11,1,3,0,0,0,1,0,1,4,1,1,170.0,10,3,5,50,5,3,6,7,4,1,3,2,1,1,5
383,1,1981,5,7,4,5,0,0,0,1,1,1,1,0,0,132.0,8,3,5,15,3,0,8,5,4,0,3,2,1,2,5
384,1,1981,3,2,0,4,0,0,0,0,0,0,7,0,1,130.0,0,0,2,14,5,0,8,7,4,0,3,2,1,1,2
385,1,1981,5,11,4,5,0,0,1,1,1,1,4,0,1,165.0,8,3,5,45,5,3,6,7,4,0,3,2,1,2,5
386,1,1984,5,5,1,2,0,0,0,0,0,0,1,0,1,140.0,5,0,2,22,5,0,8,7,0,0,2,2,1,2,2
387,1,1982,6,6,1,5,0,0,0,1,0,1,1,0,0,190.0,4,0,2,65,5,4,7,8,2,0,2,2,1,2,2
388,0,1982,5,7,4,5,0,0,0,1,0,1,1,1,0,162.0,5,3,5,31,5,4,7,9,2,0,2,3,1,2,5
389,1,1984,6,11,1,4,0,0,0,1,1,1,1,1,0,172.0,9,3,5,52,5,0,3,9,2,0,2,3,1,1,5
390,1,1982,6,2,2,4,0,0,0,0,0,0,1,1,0,205.0,9,1,5,73,5,0,6,7,0,0,2,2,1,2,3
391,0,1981,5,4,1,5,1,0,1,1,1,1,2,0,1,272.0,9,3,5,,5,3,0,7,0,1,2,3,1,1,5
392,1,1981,6,1,0,3,0,0,0,1,0,1,1,0,1,155.0,6,3,5,35,5,3,1,7,0,0,2,3,1,2,5
393,0,1983,5,5,1,8,0,0,0,0,0,0,2,1,0,140.0,7,0,2,22,4,0,8,12,4,0,3,2,1,3,2
