sex_recorded_in_1997,marriage_or_cohabitation_status_in_2002,jobs_held_in_2002,household_size_in_1997,parent_or_guardian_relationship_at_age_12,homeless_for_2+_nights_over_last_5_years,used_cocaine_or_other_hard_drug_in_last_4_years,number_of_arrests_in_last_5_years,weight_in_lbs,height_total_inches,target
female,"never married, not cohabiting",0,4,both biological parents,False,False,1,130.0,67,0
male,"never married, not cohabiting",1,5,"biological dad, marital status unknown",False,False,1,170.0,72,0
male,"never married, not cohabiting",0,5,both biological parents,False,False,1,220.0,70,0
male,"never married, not cohabiting",1,4,both biological parents,False,False,1,135.0,70,0
male,"never married, not cohabiting",1,4,both biological parents,False,True,1,190.0,71,1
male,"never married, not cohabiting",4,4,both biological parents,False,True,1,155.0,60,0
male,"never married, not cohabiting",0,3,"biological mother, marital status unknown",False,True,2,205.0,70,0
male,"never married, not cohabiting",2,6,Unknown,False,False,1,195.0,74,1
male,"never married, not cohabiting",0,2,Unknown,False,False,2,135.0,64,0
female,"never married, not cohabiting",2,2,"biological mother, marital status unknown",False,True,1,220.0,70,0
male,"never married, not cohabiting",1,4,both biological parents,False,False,1,180.0,70,0
male,"never married, not cohabiting",4,4,both biological parents,False,False,4,237.0,72,0
male,"never married, not cohabiting",0,5,Unknown,False,False,8,165.0,71,1
male,"never married, not cohabiting",2,4,"biological mother, marital status unknown",False,True,1,162.0,71,0
male,"never married, not cohabiting",1,4,both biological parents,False,True,5,210.0,69,0
male,"never married, not cohabiting",2,7,both biological parents,False,False,1,250.0,77,0
male,"never married, not cohabiting",0,4,"biological mother, marital status unknown",False,True,3,156.0,68,0
male,"never married, not cohabiting",1,5,"other adults, biological parent status unknown, not group quarters",False,False,2,185.0,72,1
male,"never married, not cohabiting",1,5,"other adults, biological parent status unknown, not group quarters",False,True,4,137.0,63,0
male,"never married, not cohabiting",1,5,"biological mother, marital status unknown",False,True,4,187.0,69,1
male,"never married, not cohabiting",1,2,"biological mother, marital status unknown",False,False,2,210.0,76,0
male,"never married, not cohabiting",3,4,"biological mother, marital status unknown",False,False,2,185.0,69,1
female,"never married, cohabiting",2,7,both biological parents,False,False,5,117.0,64,0
male,"never married, not cohabiting",2,7,both biological parents,False,False,1,187.0,68,0
female,"never married, not cohabiting",2,3,"biological mother, marital status unknown",False,False,1,134.0,64,0
male,"never married, not cohabiting",2,5,"biological mother, marital status unknown",False,False,6,154.0,67,0
female,"never married, cohabiting",0,5,"biological mother, marital status unknown",False,False,1,146.0,59,0
male,"never married, not cohabiting",1,4,"biological mother, marital status unknown",False,False,1,240.0,71,0
female,"never married, not cohabiting",4,4,both biological parents,False,True,1,155.0,67,0
male,"never married, not cohabiting",0,4,"biological mother, other parent present",False,False,2,147.0,73,0
male,"never married, not cohabiting",3,4,both biological parents,False,True,2,215.0,74,0
female,"never married, not cohabiting",5,3,Unknown,False,True,2,135.0,67,0
male,"never married, not cohabiting",2,6,both biological parents,False,True,1,170.0,70,0
male,"never married, not cohabiting",0,6,both biological parents,False,True,1,185.0,69,0
male,"never married, not cohabiting",4,5,both biological parents,False,False,1,170.0,81,0
male,"never married, not cohabiting",1,3,"biological mother, marital status unknown",False,False,6,187.0,68,0
male,"never married, not cohabiting",3,3,"biological mother, marital status unknown",False,True,1,162.0,66,0
female,"divorced, not cohabiting",1,5,"biological mother, marital status unknown",False,False,1,162.0,65,0
male,"never married, cohabiting",1,5,"biological mother, marital status unknown",False,False,2,165.0,71,0
male,"never married, not cohabiting",2,4,"biological mother, marital status unknown",False,False,2,165.0,74,0
male,"never married, not cohabiting",1,5,"biological mother, marital status unknown",False,False,2,145.0,69,0
male,"never married, not cohabiting",2,6,"biological mother, marital status unknown",False,False,1,160.0,72,1
male,"never married, cohabiting",2,3,"biological mother, marital status unknown",False,True,6,155.0,71,1
female,"never married, cohabiting",2,3,"biological mother, other parent present",False,False,1,162.0,62,0
male,"never married, not cohabiting",0,4,both biological parents,False,False,1,145.0,70,0
male,"never married, not cohabiting",2,4,both biological parents,False,False,1,160.0,68,1
male,"never married, not cohabiting",3,4,group quarters,True,True,4,190.0,74,1
male,"married, spouse present",2,6,both biological parents,False,False,1,135.0,72,0
female,"never married, not cohabiting",4,4,Unknown,False,True,1,135.0,69,1
male,"never married, not cohabiting",1,4,both biological parents,False,False,1,162.0,63,0
female,"never married, not cohabiting",2,4,"biological mother, marital status unknown",False,False,1,155.0,64,0
male,"never married, not cohabiting",2,6,both biological parents,False,False,3,185.0,76,1
male,"never married, not cohabiting",0,3,"biological mother, marital status unknown",False,False,1,155.0,73,0
female,"never married, not cohabiting",0,4,"biological mother, other parent present",False,False,2,110.0,64,0
male,"never married, not cohabiting",2,4,both biological parents,False,False,3,210.0,72,0
male,"separated, not cohabiting",2,4,both biological parents,False,False,1,160.0,68,0
female,"never married, not cohabiting",3,4,both biological parents,False,False,1,140.0,65,0
female,"never married, not cohabiting",1,4,"other adults, biological parent status unknown, not group quarters",False,False,1,174.0,65,0
female,"never married, cohabiting",0,5,Unknown,False,False,1,148.0,60,0
male,"never married, not cohabiting",1,4,both biological parents,False,True,10,195.0,73,1
female,"married, spouse present",1,2,"biological mother, marital status unknown",True,True,10,115.0,66,0
male,"never married, not cohabiting",0,4,"biological mother, marital status unknown",False,False,10,165.0,81,0
male,"never married, not cohabiting",0,4,"biological mother, marital status unknown",False,False,1,69.5,72,1
male,"never married, not cohabiting",2,7,"biological mother, marital status unknown",False,True,8,154.0,67,0
female,"never married, not cohabiting",1,5,"biological dad, marital status unknown",False,True,1,160.0,66,0
female,"never married, cohabiting",1,3,"biological mother, marital status unknown",False,False,2,140.0,65,0
female,"never married, not cohabiting",0,5,"biological mother, marital status unknown",False,False,3,138.0,64,0
male,"never married, not cohabiting",1,6,Unknown,False,False,1,156.0,66,0
female,"married, spouse absent",1,5,"biological mother, marital status unknown",True,True,1,135.0,66,0
male,"never married, not cohabiting",2,3,"biological mother, other parent present",False,True,1,187.0,68,1
male,"never married, not cohabiting",0,5,both biological parents,False,False,1,180.0,73,0
male,"never married, cohabiting",1,5,both biological parents,False,False,1,162.0,69,1
male,"never married, not cohabiting",1,4,both biological parents,False,True,2,180.0,73,1
female,"never married, not cohabiting",1,3,adoptive parent(s),False,True,1,130.0,62,0
male,"married, spouse present",0,6,both biological parents,False,False,2,155.0,69,0
male,"never married, cohabiting",3,4,"biological mother, marital status unknown",False,False,3,160.0,68,1
male,"never married, not cohabiting",2,4,"biological mother, marital status unknown",False,False,1,162.0,71,0
female,"never married, not cohabiting",3,5,"biological mother, marital status unknown",False,True,1,238.0,61,0
male,"never married, not cohabiting",3,5,"biological mother, marital status unknown",False,True,1,257.5,68,0
female,"never married, not cohabiting",0,5,"biological mother, marital status unknown",True,False,4,160.0,67,0
male,"married, spouse present",1,4,both biological parents,False,False,4,140.0,69,1
male,"never married, not cohabiting",0,4,"biological mother, marital status unknown",False,False,1,162.0,67,1
male,"never married, cohabiting",1,2,"biological mother, marital status unknown",False,False,3,184.0,72,1
male,"never married, not cohabiting",1,4,both biological parents,False,True,2,145.0,68,1
male,"never married, not cohabiting",2,4,both biological parents,False,False,2,145.0,68,0
male,"never married, cohabiting",2,4,both biological parents,False,True,1,162.0,70,1
female,"never married, cohabiting",3,4,Unknown,False,False,1,160.0,63,0
female,"never married, not cohabiting",1,7,"biological mother, marital status unknown",True,True,1,212.0,67,0
female,"never married, not cohabiting",1,7,"biological mother, marital status unknown",False,True,3,220.0,72,0
male,"never married, not cohabiting",1,5,Unknown,True,False,3,160.0,72,1
male,"never married, not cohabiting",1,4,both biological parents,False,True,1,255.0,76,0
male,"never married, cohabiting",2,3,"biological mother, marital status unknown",False,False,2,135.0,70,1
female,"never married, cohabiting",5,2,Unknown,False,False,1,140.0,69,0
female,"never married, not cohabiting",5,3,"biological mother, marital status unknown",True,True,1,113.0,62,1
male,"never married, not cohabiting",3,5,both biological parents,False,False,1,155.0,63,0
male,"never married, cohabiting",1,3,"other adults, biological parent status unknown, not group quarters",False,True,1,162.0,67,1
female,"never married, cohabiting",2,3,"biological mother, marital status unknown",False,False,1,120.0,61,0
male,"never married, not cohabiting",2,5,both biological parents,False,False,1,253.0,70,0
