sex_recorded_in_1997,marriage_or_cohabitation_status_in_2002,jobs_held_in_2002,household_size_in_1997,parent_or_guardian_relationship_at_age_12,homeless_for_2+_nights_over_last_5_years,used_cocaine_or_other_hard_drug_in_last_4_years,number_of_arrests_in_last_5_years,weight_in_lbs,height_total_inches,target
male,"never married, not cohabiting",2,3,"biological mother, marital status unknown",False,True,2,210.0,63,1
male,"never married, not cohabiting",3,5,"biological mother, marital status unknown",False,True,2,190.0,76,0
male,"never married, not cohabiting",0,3,"biological mother, other parent present",False,False,3,160.0,67,1
male,"never married, not cohabiting",2,5,"biological mother, marital status unknown",False,False,1,180.0,70,1
female,"never married, cohabiting",2,4,both biological parents,False,False,1,120.0,65,0
male,"married, spouse present",5,4,"biological mother, marital status unknown",True,False,9,187.0,69,0
male,"never married, not cohabiting",2,6,"biological mother, marital status unknown",False,True,1,141.0,70,1
male,"never married, not cohabiting",3,4,both biological parents,False,False,1,165.0,72,0
male,"never married, not cohabiting",0,7,"biological mother, marital status unknown",False,True,2,195.0,70,0
male,"never married, not cohabiting",2,7,"biological mother, marital status unknown",False,True,2,140.0,68,0
male,"never married, not cohabiting",3,6,both biological parents,False,False,1,165.0,72,0
female,"never married, not cohabiting",9,5,both biological parents,False,True,1,180.0,60,0
male,"never married, not cohabiting",4,4,both biological parents,False,False,1,128.0,67,0
male,"never married, not cohabiting",3,6,"biological mother, marital status unknown",False,False,1,250.0,75,1
male,"never married, not cohabiting",0,7,Unknown,False,False,1,248.0,74,1
male,"never married, not cohabiting",4,7,"biological mother, marital status unknown",False,False,2,180.0,74,0
male,"never married, not cohabiting",0,6,both biological parents,False,False,1,212.0,72,0
female,"never married, cohabiting",1,6,both biological parents,False,False,2,190.0,66,0
female,"never married, cohabiting",1,5,"biological mother, other parent present",False,False,1,237.0,64,0
male,"never married, not cohabiting",1,4,"other adults, biological parent status unknown, not group quarters",False,False,2,190.0,75,0
male,"never married, not cohabiting",3,5,both biological parents,False,True,1,212.0,75,0
female,"never married, not cohabiting",2,5,both biological parents,False,True,1,115.0,66,0
male,"never married, not cohabiting",1,4,both biological parents,False,False,1,162.0,75,0
female,"never married, cohabiting",1,4,Unknown,False,True,17,155.0,66,0
male,"never married, not cohabiting",2,5,both biological parents,False,False,2,170.0,68,1
male,"never married, not cohabiting",2,4,"biological mother, marital status unknown",False,False,1,173.0,66,0
male,"never married, cohabiting",0,3,"biological mother, other parent present",False,True,2,212.0,72,1
male,"never married, not cohabiting",3,5,"biological mother, marital status unknown",False,False,3,162.0,73,1
male,"never married, not cohabiting",1,4,Unknown,False,True,4,187.0,68,0
male,"never married, cohabiting",5,4,Unknown,True,True,4,187.0,74,1
male,"never married, not cohabiting",1,4,"biological mother, marital status unknown",False,False,1,120.0,68,0
male,"never married, not cohabiting",1,3,both biological parents,False,False,1,160.0,70,0
male,"never married, not cohabiting",2,4,"biological mother, marital status unknown",False,True,1,257.5,73,0
male,"married, spouse present",1,3,"biological mother, marital status unknown",False,False,4,215.0,75,1
female,"never married, not cohabiting",3,4,"biological mother, marital status unknown",False,False,4,162.0,64,0
male,"never married, not cohabiting",1,5,both biological parents,False,False,1,205.0,73,0
male,"never married, not cohabiting",2,4,"biological mother, other parent present",False,False,3,145.0,69,0
male,"never married, not cohabiting",2,4,both biological parents,False,True,1,165.0,75,1
male,"never married, not cohabiting",2,4,"biological father, other parent present",False,False,5,180.0,72,0
female,"never married, not cohabiting",1,4,"biological dad, marital status unknown",False,True,3,162.0,64,1
male,"never married, cohabiting",1,4,both biological parents,False,False,1,190.0,72,0
female,"never married, not cohabiting",2,4,both biological parents,False,False,1,162.0,65,0
male,"never married, cohabiting",3,2,"biological mother, marital status unknown",False,False,3,135.0,71,0
male,"never married, cohabiting",2,4,"biological mother, marital status unknown",False,False,7,257.5,71,1
female,"married, spouse present",1,4,"biological mother, marital status unknown",False,True,2,138.0,65,0
female,"never married, cohabiting",2,4,"biological mother, marital status unknown",False,False,1,120.0,63,0
male,"never married, not cohabiting",1,6,both biological parents,False,False,1,162.0,66,0
male,"never married, not cohabiting",5,6,"biological mother, other parent present",False,True,1,155.0,68,0
male,"never married, not cohabiting",1,5,both biological parents,False,False,1,155.0,73,1
male,"never married, not cohabiting",4,5,both biological parents,False,False,1,162.0,72,1
male,"divorced, not cohabiting",3,5,both biological parents,False,False,1,190.0,73,1
male,"never married, not cohabiting",1,2,"biological mother, marital status unknown",False,True,4,115.0,65,1
male,"never married, not cohabiting",1,3,"biological mother, other parent present",False,False,1,198.0,70,0
male,"never married, cohabiting",4,4,"biological mother, marital status unknown",False,False,1,157.0,76,0
male,"never married, cohabiting",2,4,"biological mother, marital status unknown",False,False,5,165.0,74,1
male,"never married, cohabiting",1,4,"biological mother, marital status unknown",False,False,1,145.0,73,1
male,"never married, not cohabiting",3,4,"biological mother, marital status unknown",False,False,1,165.0,70,0
male,"never married, not cohabiting",3,4,both biological parents,False,True,1,160.0,72,0
male,"never married, not cohabiting",1,5,"biological mother, marital status unknown",False,False,1,160.0,67,1
male,"never married, cohabiting",2,6,both biological parents,False,False,2,237.0,78,0
male,"never married, cohabiting",3,6,both biological parents,False,False,5,187.0,70,1
male,"never married, not cohabiting",1,4,both biological parents,False,False,1,180.0,69,0
male,"never married, not cohabiting",4,4,"biological dad, marital status unknown",False,True,4,145.0,71,1
female,"never married, not cohabiting",3,4,"biological dad, marital status unknown",False,False,1,145.0,62,1
male,"never married, not cohabiting",0,4,adoptive parent(s),False,False,2,187.0,73,0
male,"never married, not cohabiting",4,5,both biological parents,False,False,1,165.0,74,0
male,"never married, not cohabiting",1,5,Unknown,False,True,1,137.0,67,1
male,"never married, cohabiting",0,4,adoptive parent(s),True,False,3,220.0,69,1
male,"never married, not cohabiting",0,4,adoptive parent(s),False,False,5,170.0,68,1
male,"never married, not cohabiting",2,5,"biological mother, marital status unknown",False,False,1,257.5,80,0
male,"never married, cohabiting",2,5,"biological mother, marital status unknown",False,False,2,180.0,73,1
male,"never married, not cohabiting",1,4,"other adults, biological parent status unknown, not group quarters",False,False,1,240.0,69,0
female,"never married, not cohabiting",3,4,"other adults, biological parent status unknown, not group quarters",False,True,2,212.0,68,0
male,"never married, not cohabiting",1,3,"biological mother, marital status unknown",False,False,4,170.0,71,1
female,"never married, cohabiting",2,3,"biological mother, marital status unknown",False,True,12,105.0,66,0
female,"separated, cohabiting",1,4,"biological mother, marital status unknown",False,False,5,162.0,64,0
male,"never married, not cohabiting",1,4,both biological parents,False,True,1,130.0,70,1
female,"never married, not cohabiting",1,4,Unknown,False,True,1,140.0,64,0
male,"never married, not cohabiting",3,4,group quarters,False,True,1,185.0,74,0
female,"married, spouse present",2,4,"biological mother, marital status unknown",False,False,1,230.0,67,0
male,"never married, not cohabiting",3,4,Unknown,False,True,1,186.0,69,1
female,"never married, not cohabiting",0,6,Unknown,False,True,10,110.0,61,0
female,"never married, not cohabiting",4,6,"biological mother, marital status unknown",False,False,4,120.0,63,0
male,"never married, not cohabiting",1,5,Unknown,False,True,2,230.0,65,0
female,"never married, cohabiting",2,4,"biological mother, marital status unknown",False,True,1,105.0,62,0
male,"never married, not cohabiting",1,8,Unknown,False,True,1,137.0,64,0
male,"never married, not cohabiting",2,4,both biological parents,False,False,2,162.0,69,1
male,"never married, not cohabiting",1,6,"biological mother, marital status unknown",False,False,2,190.0,73,0
male,"never married, not cohabiting",2,4,both biological parents,False,False,3,170.0,72,1
female,"never married, cohabiting",1,6,"biological mother, marital status unknown",False,False,2,195.0,64,0
male,"never married, not cohabiting",2,4,"biological father, other parent present",False,True,2,155.0,65,0
female,"never married, cohabiting",2,3,"biological mother, other parent present",False,True,4,110.0,64,0
male,"never married, not cohabiting",2,5,both biological parents,False,False,1,160.0,68,0
female,"married, spouse absent",1,5,"biological mother, marital status unknown",False,True,1,120.0,64,1
male,"never married, cohabiting",2,3,"biological mother, marital status unknown",False,True,2,250.0,72,0
male,"never married, not cohabiting",2,4,both biological parents,False,True,2,162.0,66,0
male,"never married, cohabiting",2,5,"biological mother, marital status unknown",False,False,4,160.0,73,1
female,"divorced, cohabiting",1,3,Unknown,False,False,1,160.0,69,1
male,"never married, not cohabiting",4,7,"biological mother, marital status unknown",False,False,1,185.0,72,0
male,"never married, not cohabiting",1,4,Unknown,False,True,1,162.0,70,0
male,"never married, not cohabiting",0,3,"biological mother, marital status unknown",False,False,1,154.0,68,0
male,"never married, not cohabiting",0,6,"biological mother, marital status unknown",False,False,2,187.0,72,0
male,"never married, not cohabiting",0,14,"biological mother, marital status unknown",False,False,9,180.0,73,0
male,"never married, not cohabiting",3,4,both biological parents,False,False,1,187.0,69,0
male,"never married, not cohabiting",4,5,"biological mother, marital status unknown",False,True,4,165.0,71,0
male,"never married, not cohabiting",1,4,"biological mother, marital status unknown",False,False,1,250.0,70,0
male,"never married, not cohabiting",2,4,both biological parents,False,False,1,212.0,72,0
male,"never married, not cohabiting",3,5,Unknown,False,False,1,135.0,69,0
male,"married, spouse present",3,7,both biological parents,False,False,1,145.0,73,0
male,"never married, not cohabiting",5,6,"biological mother, marital status unknown",False,False,1,180.0,73,1
male,"never married, cohabiting",2,5,"biological dad, marital status unknown",False,True,2,210.0,81,0
female,"never married, cohabiting",3,6,Unknown,False,False,1,135.0,67,0
male,"never married, not cohabiting",2,6,"biological mother, marital status unknown",False,True,1,130.0,66,1
male,"never married, not cohabiting",2,5,"biological mother, marital status unknown",False,False,1,155.0,74,1
male,"never married, not cohabiting",1,4,both biological parents,False,False,4,162.0,68,0
male,"never married, not cohabiting",3,4,"biological mother, marital status unknown",False,False,5,160.0,73,0
male,"never married, cohabiting",2,4,"biological mother, marital status unknown",False,True,1,170.0,74,0
female,"never married, not cohabiting",6,4,"biological mother, marital status unknown",False,False,1,162.0,67,0
female,"never married, cohabiting",3,2,"biological mother, marital status unknown",False,False,1,135.0,68,0
male,"married, spouse present",3,5,"biological mother, marital status unknown",False,False,2,237.0,73,0
male,"never married, not cohabiting",1,5,"biological mother, marital status unknown",False,False,2,157.0,73,1
female,"never married, not cohabiting",1,5,"other adults, biological parent status unknown, not group quarters",False,False,2,130.0,65,0
female,"never married, cohabiting",3,6,both biological parents,False,True,1,162.0,70,0
female,"never married, not cohabiting",1,3,"biological mother, marital status unknown",False,False,1,162.0,64,0
male,"never married, not cohabiting",2,4,both biological parents,False,False,1,215.0,72,0
female,"divorced, not cohabiting",1,5,"biological mother, marital status unknown",False,True,3,155.0,63,1
female,"never married, not cohabiting",0,5,"biological mother, marital status unknown",False,False,3,140.0,66,0
male,"never married, cohabiting",4,6,"biological mother, marital status unknown",False,True,1,204.0,72,0
female,"married, spouse present",1,3,both biological parents,False,True,1,145.0,68,0
male,"never married, not cohabiting",2,4,"biological mother, marital status unknown",False,False,2,162.0,73,0
female,"married, spouse present",0,2,"biological dad, marital status unknown",False,True,1,115.0,61,0
male,"never married, not cohabiting",1,5,both biological parents,False,False,1,160.0,70,1
female,"never married, not cohabiting",2,3,"other adults, biological parent status unknown, not group quarters",False,False,1,130.0,66,1
male,"married, spouse present",0,3,both biological parents,False,False,2,210.0,73,0
male,"never married, not cohabiting",2,6,"biological mother, marital status unknown",False,False,8,160.0,81,0
female,"never married, not cohabiting",2,3,adoptive parent(s),False,False,1,257.5,64,0
male,"never married, not cohabiting",3,5,both biological parents,False,False,1,158.0,73,0
male,"never married, cohabiting",2,2,"biological dad, marital status unknown",False,False,1,130.0,64,0
male,"never married, cohabiting",1,5,Unknown,False,False,1,145.0,71,0
female,"never married, cohabiting",2,7,both biological parents,False,False,2,140.0,59,0
male,"never married, not cohabiting",0,5,"biological mother, marital status unknown",False,False,1,135.0,74,0
female,"never married, cohabiting",1,6,"biological mother, marital status unknown",False,False,1,162.0,65,0
female,"married, spouse present",4,3,both biological parents,False,False,2,180.0,62,0
male,"never married, not cohabiting",2,4,both biological parents,False,False,1,210.0,75,0
male,"never married, not cohabiting",2,5,both biological parents,False,False,1,187.0,73,0
female,"never married, not cohabiting",4,3,"biological dad, marital status unknown",False,True,1,120.0,64,0
male,"never married, not cohabiting",2,7,"biological dad, marital status unknown",False,False,1,257.5,66,0
male,"never married, cohabiting",0,9,"other adults, biological parent status unknown, not group quarters",True,False,2,162.0,72,1
male,"never married, not cohabiting",0,9,"biological mother, marital status unknown",False,True,11,170.0,74,0
male,"never married, not cohabiting",2,3,"biological dad, marital status unknown",False,False,1,165.0,68,0
male,"never married, cohabiting",1,3,adoptive parent(s),False,False,1,187.0,69,1
male,"never married, cohabiting",1,4,Unknown,False,False,2,257.5,69,0
male,"never married, not cohabiting",1,4,Unknown,False,False,1,162.0,69,1
female,"never married, not cohabiting",6,4,both biological parents,False,True,1,108.0,68,0
female,"never married, not cohabiting",2,4,both biological parents,False,True,2,160.0,62,0
male,"never married, not cohabiting",1,4,"biological mother, marital status unknown",False,True,1,212.0,81,0
female,"separated, cohabiting",0,3,Unknown,False,True,3,110.0,65,0
female,"never married, cohabiting",2,4,Unknown,False,True,1,190.0,62,0
male,"never married, cohabiting",1,4,"biological dad, marital status unknown",False,False,1,145.0,69,0
male,"never married, cohabiting",5,5,both biological parents,False,False,2,195.0,73,1
male,"never married, not cohabiting",2,4,"biological mother, marital status unknown",False,True,3,140.0,72,1
male,"never married, not cohabiting",4,4,"biological mother, marital status unknown",False,False,1,144.0,68,0
female,"never married, not cohabiting",1,4,Unknown,False,True,1,128.0,65,0
male,"never married, not cohabiting",4,4,both biological parents,False,True,4,190.0,74,1
female,"married, spouse present",1,3,"biological mother, other parent present",False,False,1,165.0,68,0
male,"never married, not cohabiting",2,3,"biological mother, marital status unknown",False,False,1,155.0,70,1
male,"never married, not cohabiting",1,5,"biological mother, marital status unknown",False,False,1,180.0,75,0
female,"never married, not cohabiting",1,9,"biological mother, marital status unknown",False,True,1,130.0,65,0
female,"never married, cohabiting",2,4,"biological mother, other parent present",False,False,5,137.0,68,1
female,"never married, not cohabiting",2,2,"biological mother, marital status unknown",False,False,1,187.0,63,0
male,"never married, not cohabiting",1,2,"other adults, biological parent status unknown, not group quarters",False,False,1,230.0,69,1
male,"never married, not cohabiting",0,3,"biological mother, marital status unknown",False,True,1,205.0,73,0
male,"never married, not cohabiting",1,5,Unknown,False,True,1,155.0,70,1
male,"never married, not cohabiting",0,5,both biological parents,False,False,1,257.5,72,0
male,"never married, not cohabiting",2,3,"biological mother, marital status unknown",False,False,1,145.0,71,1
male,"never married, not cohabiting",1,3,"biological dad, marital status unknown",False,False,1,190.0,75,1
male,"never married, not cohabiting",3,3,"biological dad, marital status unknown",False,False,3,180.0,70,0
male,"never married, not cohabiting",3,2,"biological mother, marital status unknown",True,False,1,160.0,74,1
male,"never married, not cohabiting",3,3,both biological parents,False,False,1,165.0,72,0
male,"never married, not cohabiting",3,3,"other adults, biological parent status unknown, not group quarters",False,False,1,151.0,70,0
male,"never married, not cohabiting",4,4,both biological parents,False,False,2,257.5,71,0
male,"never married, not cohabiting",1,4,"biological mother, marital status unknown",False,False,1,170.0,71,0
female,"married, spouse present",4,5,"biological mother, marital status unknown",False,False,1,135.0,68,0
male,"never married, not cohabiting",3,5,"biological mother, marital status unknown",True,True,1,190.0,75,0
male,"never married, not cohabiting",2,5,both biological parents,False,True,3,185.0,76,0
female,"married, spouse present",3,4,Unknown,False,False,4,158.0,65,0
male,"never married, not cohabiting",4,4,Unknown,False,True,1,257.5,76,0
female,"never married, not cohabiting",4,6,"biological mother, other parent present",False,True,1,137.0,70,0
female,"never married, not cohabiting",3,3,"biological mother, marital status unknown",False,False,1,162.0,62,0
male,"never married, not cohabiting",0,5,Unknown,True,True,8,230.0,79,0
female,"never married, not cohabiting",2,5,"biological mother, marital status unknown",False,False,1,140.0,60,0
male,"never married, cohabiting",3,4,"biological mother, marital status unknown",False,False,2,180.0,69,0
female,"never married, not cohabiting",0,4,Unknown,False,False,8,132.0,66,1
male,"never married, not cohabiting",0,3,both biological parents,False,False,1,230.0,78,0
male,"never married, not cohabiting",1,4,"biological mother, marital status unknown",False,True,2,140.0,68,1
male,"never married, not cohabiting",1,5,"biological dad, marital status unknown",False,False,5,162.0,65,0
male,"never married, not cohabiting",2,5,"biological mother, marital status unknown",False,False,2,170.0,70,1
female,"never married, not cohabiting",5,3,both biological parents,False,True,1,115.0,65,0
male,"never married, not cohabiting",4,6,"biological mother, marital status unknown",False,False,1,210.0,68,0
male,"never married, not cohabiting",1,6,"biological mother, marital status unknown",False,True,6,187.0,69,0
male,"never married, not cohabiting",0,5,"biological mother, marital status unknown",False,False,3,160.0,74,0
male,"never married, not cohabiting",2,4,both biological parents,False,False,1,160.0,72,0
female,"never married, cohabiting",3,4,both biological parents,False,False,1,110.0,64,0
female,"never married, not cohabiting",3,4,both biological parents,False,False,1,120.0,67,0
male,"never married, not cohabiting",1,2,"biological mother, marital status unknown",False,False,2,185.0,74,1
male,"never married, cohabiting",1,3,"other adults, biological parent status unknown, not group quarters",False,False,5,257.5,71,0
male,"never married, not cohabiting",3,5,"biological mother, marital status unknown",False,False,1,134.0,69,0
male,"never married, not cohabiting",1,5,"other adults, biological parent status unknown, not group quarters",False,False,2,145.0,69,0
female,"never married, cohabiting",4,5,"biological dad, marital status unknown",False,False,1,137.0,66,0
male,"never married, not cohabiting",2,5,"biological mother, other parent present",False,True,9,162.0,70,0
male,"never married, not cohabiting",3,4,both biological parents,False,False,1,220.0,72,0
male,"never married, not cohabiting",3,6,"biological dad, marital status unknown",False,False,3,215.0,74,1
male,"never married, not cohabiting",0,6,"biological mother, marital status unknown",False,False,1,215.0,74,0
male,"never married, not cohabiting",2,4,"biological dad, marital status unknown",False,True,1,140.0,69,0
female,"never married, not cohabiting",2,3,"biological mother, marital status unknown",False,True,1,165.0,63,0
female,"never married, not cohabiting",3,4,"biological dad, marital status unknown",False,True,1,130.0,64,0
male,"never married, not cohabiting",2,4,"biological mother, marital status unknown",False,False,2,170.0,70,0
female,"never married, cohabiting",1,5,"biological mother, marital status unknown",False,True,7,162.0,65,0
male,"never married, not cohabiting",0,6,Unknown,False,False,10,223.0,67,0
male,"never married, cohabiting",1,6,Unknown,False,False,3,210.0,67,1
female,"never married, not cohabiting",1,6,Unknown,False,False,1,110.0,60,1
male,"never married, cohabiting",1,5,Unknown,False,False,1,162.0,70,0
female,"never married, cohabiting",1,5,Unknown,False,False,3,130.0,63,0
male,"never married, not cohabiting",1,4,"biological mother, marital status unknown",False,False,3,140.0,70,1
female,"married, spouse present",4,3,Unknown,False,False,1,135.0,63,0
male,"never married, not cohabiting",1,2,"biological mother, marital status unknown",False,True,2,187.0,72,0
male,"never married, not cohabiting",2,7,Unknown,False,False,3,215.0,73,0
male,"never married, not cohabiting",0,4,both biological parents,False,False,2,160.0,74,0
male,"never married, not cohabiting",2,3,Unknown,False,True,5,185.0,72,1
male,"never married, not cohabiting",2,3,"biological mother, marital status unknown",False,False,3,152.0,69,0
female,"never married, not cohabiting",1,4,both biological parents,False,True,1,115.0,66,0
male,"never married, not cohabiting",3,4,adoptive parent(s),False,True,4,130.0,66,1
female,"never married, not cohabiting",2,3,both biological parents,False,False,1,115.0,64,1
female,"never married, not cohabiting",1,4,"biological mother, marital status unknown",False,False,6,135.0,66,0
male,"married, spouse present",2,3,"biological mother, marital status unknown",False,False,1,145.0,70,1
male,"never married, not cohabiting",1,6,"biological mother, marital status unknown",False,False,7,198.0,69,1
male,"never married, cohabiting",1,6,"biological mother, marital status unknown",False,False,1,185.0,68,0
male,"never married, not cohabiting",1,3,both biological parents,False,True,2,160.0,70,0
male,"never married, not cohabiting",0,4,"biological dad, marital status unknown",False,False,1,210.0,71,0
male,"never married, not cohabiting",3,4,both biological parents,False,True,3,160.0,69,0
female,"never married, not cohabiting",1,2,adoptive parent(s),False,True,1,137.0,69,0
female,"never married, not cohabiting",0,2,"biological mother, marital status unknown",False,True,1,135.0,65,0
male,"never married, cohabiting",4,5,"biological mother, marital status unknown",False,False,1,143.0,69,0
female,"married, spouse present",4,4,"other adults, biological parent status unknown, not group quarters",False,True,1,185.0,62,0
male,"separated, not cohabiting",1,4,"other adults, biological parent status unknown, not group quarters",False,False,6,170.0,70,0
female,"separated, not cohabiting",1,4,"biological mother, marital status unknown",False,False,2,187.0,67,0
female,"never married, not cohabiting",1,4,"biological mother, marital status unknown",False,False,2,190.0,63,0
male,"never married, cohabiting",1,5,"biological mother, marital status unknown",False,False,1,120.0,62,0
female,"never married, cohabiting",4,3,"biological mother, marital status unknown",True,False,1,162.0,63,0
male,"never married, not cohabiting",4,4,Unknown,False,True,5,165.0,72,0
male,"never married, not cohabiting",1,3,both biological parents,False,False,1,145.0,72,0
female,"married, spouse absent",2,6,adoptive parent(s),False,False,1,104.0,64,0
male,"never married, cohabiting",2,7,Unknown,False,True,1,160.0,71,0
male,"never married, cohabiting",2,7,both biological parents,False,True,2,167.0,72,0
female,"never married, not cohabiting",0,3,Unknown,False,True,1,140.0,64,0
male,"never married, not cohabiting",5,2,"biological mother, marital status unknown",False,True,1,210.0,73,0
male,"never married, cohabiting",2,6,"biological mother, marital status unknown",False,True,1,187.0,71,0
female,"never married, not cohabiting",2,4,"biological mother, marital status unknown",False,False,1,128.0,64,1
female,"married, spouse present",1,4,Unknown,True,False,1,122.0,66,0
male,"never married, not cohabiting",0,3,"biological dad, marital status unknown",True,True,3,145.0,67,1
male,"never married, not cohabiting",0,3,"biological dad, marital status unknown",False,False,1,178.0,69,0
male,"married, spouse present",1,6,both biological parents,False,False,1,160.0,66,1
male,"never married, not cohabiting",2,4,"biological mother, marital status unknown",False,False,2,210.0,71,1
male,"never married, not cohabiting",0,10,"biological mother, marital status unknown",False,False,1,165.0,68,0
male,"never married, not cohabiting",3,6,"other adults, biological parent status unknown, not group quarters",False,False,3,180.0,72,0
male,"never married, not cohabiting",1,3,both biological parents,False,True,1,160.0,71,1
male,"never married, not cohabiting",2,5,"biological mother, marital status unknown",False,True,1,170.0,72,1
male,"never married, cohabiting",3,5,"biological mother, marital status unknown",False,False,1,164.0,69,0
male,"never married, not cohabiting",0,6,"biological dad, marital status unknown",False,False,11,190.0,73,0
male,"never married, not cohabiting",2,6,"biological dad, marital status unknown",False,False,4,170.0,70,0
female,"never married, not cohabiting",3,4,"biological mother, marital status unknown",False,False,1,145.0,63,0
male,"never married, not cohabiting",2,10,both biological parents,False,False,1,202.0,66,1
female,"never married, not cohabiting",0,2,"biological mother, marital status unknown",False,True,1,117.0,64,0
male,"never married, not cohabiting",0,4,both biological parents,False,False,2,168.0,71,1
female,"never married, not cohabiting",3,2,"biological mother, marital status unknown",False,True,5,130.0,62,0
female,"never married, not cohabiting",3,3,"biological mother, marital status unknown",True,True,3,120.0,64,0
female,"never married, not cohabiting",0,4,Unknown,False,False,2,212.0,66,0
male,"never married, not cohabiting",3,3,"biological mother, marital status unknown",False,True,1,210.0,71,1
male,"never married, not cohabiting",1,4,"biological mother, marital status unknown",False,False,9,152.0,71,0
female,"married, spouse absent",0,3,"biological mother, marital status unknown",False,False,1,189.0,64,0
female,"never married, cohabiting",3,4,"biological mother, marital status unknown",False,False,1,120.0,62,0
male,"never married, not cohabiting",2,4,both biological parents,False,False,1,185.0,67,0
male,"never married, not cohabiting",1,4,both biological parents,False,True,2,165.0,72,0
female,"never married, not cohabiting",3,5,"other adults, biological parent status unknown, not group quarters",False,False,1,130.0,66,1
male,"divorced, not cohabiting",1,5,"biological mother, marital status unknown",True,True,1,187.0,72,0
male,"married, spouse present",0,4,both biological parents,False,True,2,187.0,73,0
male,"never married, not cohabiting",0,4,"biological mother, marital status unknown",False,True,1,160.0,66,0
male,"never married, not cohabiting",2,4,"biological mother, marital status unknown",False,False,1,205.0,74,1
male,"never married, not cohabiting",0,2,"biological mother, marital status unknown",False,False,10,170.0,78,0
male,"never married, not cohabiting",2,4,"biological mother, marital status unknown",False,False,5,180.0,68,0
male,"never married, cohabiting",1,10,"other adults, biological parent status unknown, not group quarters",False,True,7,195.0,68,0
male,"never married, not cohabiting",0,10,both biological parents,False,False,6,165.0,71,0
male,"never married, not cohabiting",1,3,"biological father, other parent present",False,False,1,220.0,77,0
female,"never married, not cohabiting",3,4,"biological mother, marital status unknown",False,True,10,171.0,64,1
male,"separated, not cohabiting",1,3,"biological mother, marital status unknown",False,False,9,212.0,72,0
male,"married, spouse present",1,3,"biological mother, marital status unknown",False,False,1,145.0,71,0
female,"never married, not cohabiting",1,4,"biological mother, other parent present",False,False,1,190.0,66,0
female,"never married, not cohabiting",3,4,both biological parents,False,False,1,118.0,65,1
female,"never married, not cohabiting",1,3,"biological mother, marital status unknown",False,False,1,115.0,65,0
male,"never married, not cohabiting",1,5,"biological dad, marital status unknown",False,False,2,257.5,76,0
male,"never married, not cohabiting",1,6,both biological parents,False,True,4,180.0,69,0
male,"married, spouse present",2,2,"other adults, biological parent status unknown, not group quarters",False,False,1,180.0,69,0
male,"never married, not cohabiting",1,5,"biological mother, marital status unknown",False,True,5,140.0,63,1
female,"never married, not cohabiting",5,5,both biological parents,False,False,1,145.0,66,0
male,"never married, not cohabiting",0,6,"biological dad, marital status unknown",False,True,1,135.0,69,0
female,"separated, cohabiting",3,3,"other adults, biological parent status unknown, not group quarters",False,False,2,257.5,66,0
male,"never married, not cohabiting",0,3,Unknown,False,False,1,170.0,76,0
male,"never married, not cohabiting",1,5,"biological mother, marital status unknown",False,False,1,220.0,78,0
female,"never married, not cohabiting",3,2,"biological mother, marital status unknown",False,False,1,120.0,68,0
female,"never married, not cohabiting",5,5,"biological mother, marital status unknown",False,False,1,117.0,64,0
male,"never married, not cohabiting",3,4,both biological parents,False,False,4,140.0,72,0
female,"never married, not cohabiting",4,4,both biological parents,False,True,1,137.0,65,0
male,"never married, not cohabiting",2,3,both biological parents,False,False,1,155.0,69,0
female,"never married, not cohabiting",3,4,both biological parents,False,True,1,137.0,61,0
female,"never married, not cohabiting",4,3,"biological dad, marital status unknown",False,True,1,137.0,64,1
male,"never married, not cohabiting",2,4,"biological mother, marital status unknown",False,False,2,159.0,71,0
male,"never married, not cohabiting",3,8,Unknown,False,False,4,257.5,67,0
female,"never married, not cohabiting",4,2,"biological mother, other parent present",False,True,5,135.0,67,0
male,"never married, not cohabiting",0,4,"biological mother, marital status unknown",False,False,2,250.0,81,1
male,"never married, not cohabiting",2,5,both biological parents,False,False,1,162.0,73,0
female,"never married, not cohabiting",1,2,"biological mother, marital status unknown",False,False,2,155.0,64,0
male,"never married, not cohabiting",1,9,both biological parents,False,False,1,224.0,70,0
female,"never married, not cohabiting",1,9,both biological parents,False,False,1,130.0,63,0
male,"never married, not cohabiting",0,4,"biological mother, marital status unknown",False,False,2,257.5,74,1
female,"never married, not cohabiting",1,5,Unknown,False,False,4,122.0,65,1
male,"never married, not cohabiting",3,3,both biological parents,False,True,1,156.0,74,0
female,"never married, cohabiting",1,5,"biological mother, other parent present",False,False,9,105.0,63,0
male,"never married, not cohabiting",1,4,"biological mother, marital status unknown",False,True,6,162.0,66,0
male,"never married, not cohabiting",1,3,"biological mother, marital status unknown",False,True,1,130.0,68,1
male,"never married, not cohabiting",1,4,both biological parents,False,False,1,180.0,70,0
male,"never married, not cohabiting",1,4,both biological parents,False,True,1,212.0,68,0
female,"never married, not cohabiting",3,5,"biological mother, marital status unknown",False,False,1,120.0,64,0
male,"never married, not cohabiting",1,4,"biological dad, marital status unknown",False,True,2,187.0,67,0
male,"never married, not cohabiting",0,4,both biological parents,False,True,2,140.0,69,1
female,"never married, cohabiting",3,4,both biological parents,False,True,1,110.0,61,0
male,"never married, not cohabiting",3,4,"biological mother, marital status unknown",False,True,3,144.0,71,1
female,"never married, not cohabiting",0,5,adoptive parent(s),False,True,5,162.0,66,0
female,"never married, not cohabiting",3,5,both biological parents,False,False,1,130.0,65,0
